phase,split,arm,adaptation_stage,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_L,FROZEN,first_mpc_replan_pre_update,L,15,3,contrast (repeated within episode; not independent samples),0.014549974258989096,0.029427595397818022,0.6749999999999999,0.7333333333333333,3,0.2,13,0.23076923076923078,1e-06,0.8,2,0.13333333333333333,10,0.2,0.057139865960925816,0.05765040057400862,0.003438718616962433,0.0
development,val_L,FROZEN,later_mpc_replans_no_updates,L,145,3,contrast (repeated within episode; not independent samples),0.00599465065651798,0.021992660695726234,0.2696068590059192,0.46206896551724136,49,0.33793103448275863,82,0.5975609756097561,1e-06,0.5448275862068965,24,0.16551724137931034,39,0.6153846153846154,0.002722212325396209,0.007300072618567481,0.00566667877137661,0.0
development,val_L,OFFICIAL_ADAJEPA,after_prior_factual_updates,L,90,3,contrast (repeated within episode; not independent samples),0.027674949751882297,0.15509547619314717,0.17105003212670236,0.5555555555555556,32,0.35555555555555557,62,0.5161290322580645,1e-06,0.6111111111111112,19,0.2111111111111111,35,0.5428571428571428,0.0035920929920393975,0.030650761327706277,0.12956377118825912,5.8288997711820735e-05
development,val_L,OFFICIAL_ADAJEPA,first_mpc_replan_pre_update,L,15,3,contrast (repeated within episode; not independent samples),0.014549974258989096,0.029427595397818022,0.6749999999999999,0.7333333333333333,3,0.2,13,0.23076923076923078,1e-06,0.8,2,0.13333333333333333,10,0.2,0.057139865960925816,0.05765040057400862,0.003438718616962433,0.0
development,val_L,PREDICTOR_ONLY,after_prior_factual_updates,L,85,3,contrast (repeated within episode; not independent samples),0.03639231441912296,0.17418627145535712,0.1205112420484859,0.4588235294117647,35,0.4117647058823529,58,0.603448275862069,1e-06,0.5882352941176471,24,0.2823529411764706,40,0.6,0.0037026284892550288,0.039611842394943406,0.11674581095576286,0.0
development,val_L,PREDICTOR_ONLY,first_mpc_replan_pre_update,L,15,3,contrast (repeated within episode; not independent samples),0.014549974258989096,0.029427595397818022,0.6749999999999999,0.7333333333333333,3,0.2,13,0.23076923076923078,1e-06,0.8,2,0.13333333333333333,10,0.2,0.057139865960925816,0.05765040057400862,0.003438718616962433,0.0
development,val_T,FROZEN,first_mpc_replan_pre_update,T,15,3,contrast (repeated within episode; not independent samples),0.007548166283716758,0.017538485913445024,0.7178571428571427,0.6666666666666666,4,0.26666666666666666,14,0.2857142857142857,1e-06,0.7333333333333333,3,0.2,11,0.2727272727272727,0.0414023044363906,0.04384650990056495,0.00013403967022895813,0.0
development,val_T,FROZEN,later_mpc_replans_no_updates,T,145,3,contrast (repeated within episode; not independent samples),0.00229486463398769,0.006969473739710921,0.33658429058204764,0.5724137931034483,30,0.20689655172413793,70,0.42857142857142855,1e-06,0.6137931034482759,19,0.1310344827586207,37,0.5135135135135135,0.002312125109842625,0.0021871934564591483,0.0024700239300727844,0.0
development,val_T,OFFICIAL_ADAJEPA,after_prior_factual_updates,T,105,3,contrast (repeated within episode; not independent samples),0.003382802714172396,0.009940157805425575,0.4280556521216882,0.6,30,0.2857142857142857,67,0.44776119402985076,1e-06,0.6285714285714286,16,0.1523809523809524,36,0.4444444444444444,0.002373088963906325,0.004522149106265888,0.01670052483677864,1.9998522198182486e-05
development,val_T,OFFICIAL_ADAJEPA,first_mpc_replan_pre_update,T,15,3,contrast (repeated within episode; not independent samples),0.007548166283716758,0.017538485913445024,0.7178571428571427,0.6666666666666666,4,0.26666666666666666,14,0.2857142857142857,1e-06,0.7333333333333333,3,0.2,11,0.2727272727272727,0.0414023044363906,0.04384650990056495,0.00013403967022895813,0.0
