phase,split,arm,gd_iter,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_T,FROZEN,0,T,32,3,contrast (repeated within episode; not independent samples),0.01268993855046574,0.019026927259642275,0.7170087976539589,0.75,0,0.0,3,0.0,1e-06,0.75,0,0.0,3,0.0,0.029147269422537647,0.02887367334915325,0.0,0.0
development,val_T,FROZEN,24,T,32,3,contrast (repeated within episode; not independent samples),0.0008135680418490665,0.0011455817668851915,0.32368035190615835,0.625,9,0.28125,19,0.47368421052631576,1e-06,0.625,9,0.28125,19,0.47368421052631576,0.0006525852440972812,0.00109415656515921,0.0024700239300727844,0.0
development,val_T,FROZEN,49,T,32,3,contrast (repeated within episode; not independent samples),0.00037539830555033404,0.0009558581968905968,0.10410557184750732,0.625,7,0.21875,16,0.4375,1e-06,0.5625,5,0.15625,14,0.35714285714285715,7.979225119925104e-05,0.00044173438618599903,0.00018716789782047272,0.0
development,val_T,FROZEN,74,T,32,3,contrast (repeated within episode; not independent samples),5.789735587313771e-05,0.0001891314692970767,-0.22470674486803516,0.46875,9,0.28125,23,0.391304347826087,1e-06,0.1875,8,0.25,12,0.6666666666666666,4.494908353080973e-06,5.41998706466984e-05,0.00027052033692598343,0.0
development,val_T,FROZEN,99,T,32,3,contrast (repeated within episode; not independent samples),6.0645106714218855e-09,8.867670167962601e-09,0.32575342354700426,0.4375,9,0.28125,23,0.391304347826087,1e-06,1.0,0,0.0,0,,5.282345227897167e-09,7.694325176998973e-09,9.313225746154785e-09,0.0
development,val_T,OFFICIAL_ADAJEPA,0,T,24,3,contrast (repeated within episode; not independent samples),0.01734825552557595,0.02467173733675918,0.8208695652173912,0.9166666666666666,0,0.0,3,0.0,1e-06,0.9166666666666666,0,0.0,3,0.0,0.035327801830135286,0.04465801675299493,0.0,7.293934080128868e-05
development,val_T,OFFICIAL_ADAJEPA,24,T,24,3,contrast (repeated within episode; not independent samples),0.0016951684616894151,0.003814691862184521,0.26608695652173914,0.625,6,0.25,17,0.35294117647058826,1e-06,0.625,6,0.25,17,0.35294117647058826,0.0008161315490724519,0.00198185644694604,0.01670052483677864,1.3236846522583315e-05
development,val_T,OFFICIAL_ADAJEPA,49,T,24,3,contrast (repeated within episode; not independent samples),0.0004349617617360006,0.0011295088723860503,-0.011304347826086955,0.5416666666666666,7,0.2916666666666667,16,0.4375,1e-06,0.5,7,0.2916666666666667,16,0.4375,0.00010841406522861992,0.0005145337515083762,0.00013403967022895813,1.132219040300697e-06
development,val_T,OFFICIAL_ADAJEPA,74,T,24,3,contrast (repeated within episode; not independent samples),3.897202138129311e-05,7.901145829993817e-05,-0.26608695652173914,0.5416666666666666,11,0.4583333333333333,24,0.4583333333333333,1e-06,0.16666666666666666,6,0.25,11,0.5454545454545454,6.349585116064797e-06,3.4054432035190985e-05,0.0001847967505455017,1.849342273393025e-07
development,val_T,OFFICIAL_ADAJEPA,99,T,24,3,contrast (repeated within episode; not independent samples),8.031444546456138e-09,1.0560040904177874e-08,0.15460119467304942,0.4166666666666667,10,0.4166666666666667,21,0.47619047619047616,1e-06,1.0,0,0.0,0,,7.460281873742739e-09,9.644281817600131e-09,1.1175870895385742e-08,1.940255363782247e-10
development,val_T,PREDICTOR_ONLY,0,T,19,3,contrast (repeated within episode; not independent samples),0.014865615736006907,0.022337702664404234,0.7649122807017543,0.8421052631578947,0,0.0,3,0.0,1e-06,0.8421052631578947,0,0.0,3,0.0,0.04042299672667133,0.04862243452991702,0.0,0.0
development,val_T,PREDICTOR_ONLY,24,T,19,3,contrast (repeated within episode; not independent samples),0.0011458365908382756,0.0018722088961177943,0.2421052631578947,0.5789473684210527,6,0.3157894736842105,16,0.375,1e-06,0.5789473684210527,6,0.3157894736842105,16,0.375,0.0009387529969803597,0.0014645694019763094,0.005506239831447601,0.0
