phase,split,arm,mpc_iter,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_T,FROZEN,0,T,15,3,contrast (repeated within episode; not independent samples),0.007548166283716758,0.017538485913445024,0.7178571428571427,0.6666666666666666,4,0.26666666666666666,14,0.2857142857142857,1e-06,0.7333333333333333,3,0.2,11,0.2727272727272727,0.0414023044363906,0.04384650990056495,0.00013403967022895813,0.0
development,val_T,FROZEN,1,T,15,3,contrast (repeated within episode; not independent samples),0.0043899989997347195,0.009399104487900782,0.7214285714285712,0.6,3,0.2,8,0.375,1e-06,0.8,2,0.13333333333333333,6,0.3333333333333333,0.005993605296437939,0.005778865252311031,0.0014822594821453094,0.0
development,val_T,FROZEN,2,T,15,3,contrast (repeated within episode; not independent samples),0.005169259244576096,0.012253656066303034,0.475,0.6,4,0.26666666666666666,8,0.5,1e-06,0.6,2,0.13333333333333333,4,0.5,0.0037974097300320863,0.004179843608289957,0.0013260748237371445,0.0
development,val_T,FROZEN,3,T,15,3,contrast (repeated within episode; not independent samples),0.005583954571435849,0.012607868449801022,0.6464285714285712,0.7333333333333333,3,0.2,7,0.42857142857142855,1e-06,0.7333333333333333,3,0.2,4,0.75,0.0043002585880458355,0.004615426436066628,0.0024700239300727844,0.0
development,val_T,FROZEN,4,T,15,3,contrast (repeated within episode; not independent samples),0.003199884854257107,0.007738125806672953,0.3002682164147727,0.5333333333333333,3,0.2,8,0.375,1e-06,0.6,3,0.2,5,0.6,0.005523023506005605,0.0033003671715656916,0.0010458361357450485,0.0
development,val_T,FROZEN,5,T,15,3,contrast (repeated within episode; not independent samples),0.0004985541648541888,0.0011010140833534697,0.4700627435540786,0.6666666666666666,2,0.13333333333333333,11,0.18181818181818182,1e-06,0.7333333333333333,0,0.0,5,0.0,0.0003477908748512467,0.0007494290204097827,7.119379006326199e-07,0.0
development,val_T,FROZEN,6,T,5,1,contrast (repeated within episode; not independent samples),0.0015172750689089298,0.003131102635989878,-0.7,0.4,1,0.2,3,0.3333333333333333,1e-06,0.4,1,0.2,2,0.5,0.0008830757346004247,0.0006346821784973145,0.00040366221219301224,0.0
development,val_T,FROZEN,7,T,5,1,contrast (repeated within episode; not independent samples),0.000744105177000165,0.0015986833878961905,0.9999999999999999,0.8,1,0.2,3,0.3333333333333333,1e-06,0.8,0,0.0,1,0.0,0.000545649416744709,0.0012897545471787452,9.313225746154785e-10,0.0
development,val_T,FROZEN,8,T,5,1,contrast (repeated within episode; not independent samples),0.000596043630503118,0.001062896145153726,0.09999999999999999,0.6,2,0.4,3,0.6666666666666666,1e-06,0.4,2,0.4,2,1.0,0.0006520916940644383,0.00030937930569052696,0.0004391847178339958,0.0
development,val_T,FROZEN,9,T,5,1,contrast (repeated within episode; not independent samples),0.0006137524964287877,0.0013094229336253868,0.6,0.4,1,0.2,2,0.5,1e-06,0.6,1,0.2,2,0.5,0.0005655551562085748,0.0011597291566431522,8.94647091627121e-05,0.0
