phase,split,run_id,arm,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae,episode_mae_mean,episode_mae_sample_std,episode_thresholded_false_rate_mean,episode_thresholded_false_rate_sample_std,support_update_events,support_loss_improved_events,support_loss_improved_rate,mae_delta_vs_frozen,spearman_delta_vs_frozen,conditional_false_rate_delta_vs_frozen
development,val_T,dev_valT_frozen_n3,FROZEN,T,160,3,contrast (repeated within episode; not independent samples),0.00278736166364979,0.008535640036150285,0.3819637585152394,0.58125,34,0.2125,84,0.40476190476190477,1e-06,0.625,22,0.1375,48,0.4583333333333333,0.005976829421706497,0.006092754373094067,0.0024700239300727844,0.0,0.0034860594791825857,0.0013872359227274022,0.11222222222222222,0.052739752383581424,0,0,,0.0,0.0,0.0
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,T,120,3,contrast (repeated within episode; not independent samples),0.003903473160365441,0.011176122138925527,0.4689832033316613,0.6083333333333333,34,0.2833333333333333,81,0.41975308641975306,1e-06,0.6416666666666667,19,0.15833333333333333,47,0.40425531914893614,0.007251740897966859,0.00943769420555327,0.01670052483677864,1.7498706923409676e-05,0.004214759831896998,0.0014387440463515023,0.15613275613275615,0.02012560273779064,24,22,0.9166666666666666,0.0011161114967156512,0.08701944481642193,-0.05407801418439717
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,T,95,3,contrast (repeated within episode; not independent samples),0.0033672846608648176,0.010045066425097218,0.3824308578244787,0.5578947368421052,30,0.3157894736842105,68,0.4411764705882353,1e-06,0.6421052631578947,17,0.17894736842105263,42,0.40476190476190477,0.008300804747513643,0.010203114459536186,0.005506239831447601,0.0,0.0036131478300449825,0.0005436693699155584,0.14545454545454548,0.07872958216222169,19,17,0.8947368421052632,0.0005799229972150276,0.0004670993092393272,-0.05357142857142855
development,val_L,dev_valL_frozen_n3,FROZEN,L,160,3,contrast (repeated within episode; not independent samples),0.006796712244249647,0.022792944853161218,0.3155084365874981,0.4875,52,0.325,95,0.5473684210526316,1e-06,0.56875,26,0.1625,49,0.5306122448979592,0.00782386735372711,0.012020415864390089,0.00566667877137661,0.0,0.010002255410913171,0.006359393241590975,0.1877777777777778,0.05273975238358142,0,0,,0.0,0.0,0.0
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,L,105,3,contrast (repeated within episode; not independent samples),0.025799953252897554,0.14402064523848757,0.26706562927460364,0.580952380952381,35,0.3333333333333333,75,0.4666666666666667,1e-06,0.638095238095238,21,0.2,45,0.4666666666666667,0.011241774844737457,0.03450785264860661,0.12956377118825912,4.9961998038703485e-05,0.028624283527541493,0.024741896615131848,0.20000000000000004,3.3993498887762956e-17,21,21,1.0,0.019003241008647906,-0.048442807312894465,-0.06394557823129254
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,L,100,3,contrast (repeated within episode; not independent samples),0.03311596339510288,0.16099573315658433,0.23490089949534648,0.5,38,0.38,71,0.5352112676056338,1e-06,0.62,26,0.26,50,0.52,0.011718214110005646,0.04231762612180319,0.11674581095576286,0.0,0.03589340630343132,0.024553734654384745,0.26944444444444443,0.09586352181520776,20,20,1.0,0.02631925115085323,-0.08060753709215163,-0.0106122448979592
ood,val_I,ood_valI_frozen_n5_attempt2,FROZEN,I,500,5,contrast (repeated within episode; not independent samples),0.00710969677567482,0.033549428020872366,0.20098721098080702,0.52,156,0.312,354,0.4406779661016949,1e-06,0.61,89,0.178,208,0.42788461538461536,0.008052512053400279,0.00866279243119061,0.05267965793609619,0.0,0.00710969677567482,0.0027354326914270977,0.17800000000000002,0.061400325732035015,0,0,,0.0,0.0,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,I,435,5,contrast (repeated within episode; not independent samples),0.00834177148838838,0.03753733896861218,0.3381552561553858,0.5448275862068965,163,0.37471264367816093,335,0.48656716417910445,1e-06,0.6436781609195402,108,0.2482758620689655,231,0.4675324675324675,0.009135898691869673,0.012126141724487146,0.05267965793609619,4.944935462426865e-05,0.0099804284184772,0.007480957506853522,0.24942857142857142,0.07992087924175703,87,78,0.896551724137931,0.0012320747127135597,0.13716804517457876,0.03964785214785216
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,I,435,5,contrast (repeated within episode; not independent samples),0.009003576634173421,0.03792024580193334,0.23915206299492628,0.5195402298850574,163,0.37471264367816093,338,0.4822485207100592,1e-06,0.6367816091954023,104,0.23908045977011494,235,0.4425531914893617,0.009578884768717247,0.011014028503720102,0.08091342449188232,0.0,0.010662396081723273,0.006839183558809428,0.24142857142857146,0.08772638353053738,87,81,0.9310344827586207,0.0018938798584986014,0.03816485201411926,0.014668576104746311
ood,val_small_tee,ood_smalltee_frozen_n5,FROZEN,small_tee,175,5,contrast (repeated within episode; not independent samples),0.021572194091443505,0.08758061473842675,0.18676271944557704,0.5885714285714285,43,0.24571428571428572,123,0.34959349593495936,1e-06,0.6457142857142857,33,0.18857142857142858,88,0.375,0.02407243240092482,0.028007872187133347,0.04141621291637421,0.0,0.021162813778257083,0.018572518968100575,0.18425396825396825,0.06931315480538548,0,0,,0.0,0.0,0.0
