phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,c_env_ref_after,c_env_ref_before,c_env_samever_after,c_env_samever_before,c_hat_native_after,c_hat_native_before,contrast_error,delta_env_ref,delta_env_samever,delta_pred,encoder_version,false_improvement,gd_iter,model_version,mpc_iter,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,sign_correct,sign_env,sign_pred
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0.5041932463645935,0.76871657371521,0.5041932463645935,0.76871657371521,0.4178670644760132,0.671438455581665,0.0109519362449646,-0.26452332735061646,-0.26452332735061646,-0.25357139110565186,0,False,0,0,0,0,0,s0_history_mpc0,dev_valT_frozen_n3,0,1,T,True,-1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0.05752919614315033,0.06062638387084007,0.05752919614315033,0.06062638387084007,0.027507871389389038,0.02986576221883297,0.0007392968982458115,-0.003097187727689743,-0.003097187727689743,-0.0023578908294439316,0,False,24,0,0,0,0,s0_history_mpc0,dev_valT_frozen_n3,0,1,T,True,-1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0.017199330031871796,0.017065290361642838,0.017199330031871796,0.017065290361642838,0.005829726345837116,0.00593528151512146,-0.00023959483951330185,0.00013403967022895813,0.00013403967022895813,-0.00010555516928434372,0,True,49,0,0,0,0,s0_history_mpc0,dev_valT_frozen_n3,0,1,T,False,1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0.019219698384404182,0.01924208737909794,0.019219698384404182,0.01924208737909794,0.005130889359861612,0.005137383937835693,1.5894416719675064e-05,-2.2388994693756104e-05,-2.2388994693756104e-05,-6.4945779740810394e-06,0,False,74,0,0,0,0,s0_history_mpc0,dev_valT_frozen_n3,0,1,T,True,-1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0.018729718402028084,0.018729714676737785,0.018729718402028084,0.018729714676737785,0.0050732046365737915,0.005073225125670433,-2.421438694000244e-08,3.725290298461914e-09,3.725290298461914e-09,-2.0489096641540527e-08,0,True,99,0,0,0,0,s0_history_mpc0,dev_valT_frozen_n3,0,1,T,False,1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0.08311891555786133,0.03395645692944527,0.08311891555786133,0.03395645692944527,0.04413692280650139,0.01890532672405243,-0.023930862545967102,0.04916245862841606,0.04916245862841606,0.02523159608244896,0,False,0,0,1,0,0,s0_history_mpc1,dev_valT_frozen_n3,0,1,T,True,1,1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0.020184865221381187,0.018702605739235878,0.020184865221381187,0.018702605739235878,0.0049140010960400105,0.005353669635951519,-0.001921928022056818,0.0014822594821453094,0.0014822594821453094,-0.00043966853991150856,0,True,24,0,1,0,0,s0_history_mpc1,dev_valT_frozen_n3,0,1,T,False,1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0.017383858561515808,0.017392657697200775,0.017383858561515808,0.017392657697200775,0.00427338806912303,0.004294584970921278,-1.239776611328125e-05,-8.799135684967041e-06,-8.799135684967041e-06,-2.119690179824829e-05,0,False,49,0,1,0,0,s0_history_mpc1,dev_valT_frozen_n3,0,1,T,True,-1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0.01588868722319603,0.015866493806242943,0.01588868722319603,0.015866493806242943,0.0041148425079882145,0.0041162800043821335,-2.3630913347005844e-05,2.2193416953086853e-05,2.2193416953086853e-05,-1.437496393918991e-06,0,True,74,0,1,0,0,s0_history_mpc1,dev_valT_frozen_n3,0,1,T,False,1,-1
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0.0158345066010952,0.0158345066010952,0.0158345066010952,0.0158345066010952,0.004103041719645262,0.004103044047951698,-2.3283064365386963e-09,0.0,0.0,-2.3283064365386963e-09,0,False,99,0,1,0,0,s0_history_mpc1,dev_valT_frozen_n3,0,1,T,False,0,-1
