phase,split,run_id,sample_id,seed,arm,success,returned_model_actions,support_update_events,support_loss_improved_rate,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_T,dev_valT_frozen_n3,0,1,FROZEN,False,20,0,,T,100,1,contrast (repeated within episode; not independent samples),0.0018890359008219093,0.006298253510705512,0.18283425364186828,0.52,26,0.26,49,0.5306122448979592,1e-06,0.55,17,0.17,27,0.6296296296296297,0.003770497668301687,0.004858845712151378,0.0024700239300727844,0.0
development,val_T,dev_valT_frozen_n3,1,101,FROZEN,True,6,0,,T,30,1,contrast (repeated within episode; not independent samples),0.004392089978015671,0.010708058808950937,0.6614751403708521,0.7,5,0.16666666666666666,16,0.3125,1e-06,0.7333333333333333,2,0.06666666666666667,8,0.25,0.007625447326184561,0.003682987329860528,1.3220123946666718e-05,0.0
development,val_T,dev_valT_frozen_n3,2,201,FROZEN,True,6,0,,T,30,1,contrast (repeated within episode; not independent samples),0.004177052558710178,0.011903037007541502,0.6513128777180058,0.6666666666666666,3,0.1,19,0.15789473684210525,1e-06,0.7666666666666667,3,0.1,13,0.23076923076923078,0.01168265069524447,0.012615550286136567,0.00027052033692598343,0.0
development,val_T,dev_valT_official_n3,0,1,OFFICIAL_ADAJEPA,True,11,11,0.9090909090909091,T,55,1,contrast (repeated within episode; not independent samples),0.002674262528307736,0.008137407479021528,0.47873223207431137,0.6363636363636364,17,0.3090909090909091,39,0.4358974358974359,1e-06,0.6545454545454545,9,0.16363636363636364,21,0.42857142857142855,0.005922755711203949,0.008442104218358342,0.0032844766974449158,5.714286288077181e-06
development,val_T,dev_valT_official_n3,1,101,OFFICIAL_ADAJEPA,True,6,6,0.8333333333333334,T,30,1,contrast (repeated within episode; not independent samples),0.00552365073429731,0.01432912740426467,0.3559906574481545,0.6,7,0.23333333333333334,20,0.35,1e-06,0.6666666666666666,4,0.13333333333333333,13,0.3076923076923077,0.006107634930716207,0.007379396193816016,7.26059079170227e-05,9.199440440473456e-06
development,val_T,dev_valT_official_n3,2,201,OFFICIAL_ADAJEPA,True,7,7,1.0,T,35,1,contrast (repeated within episode; not independent samples),0.0044463662330859475,0.01217375506840414,0.5419147012378971,0.5714285714285714,10,0.2857142857142857,22,0.45454545454545453,1e-06,0.6,6,0.17142857142857143,13,0.46153846153846156,0.010320808449094849,0.012766448195491518,0.01670052483677864,4.3130739192877497e-05
development,val_T,dev_valT_predictor_only_n3,0,1,PREDICTOR_ONLY,True,11,11,0.8181818181818182,T,55,1,contrast (repeated within episode; not independent samples),0.003161664857444438,0.009185289519750853,0.2566970336048063,0.509090909090909,21,0.38181818181818183,39,0.5384615384615384,1e-06,0.5818181818181818,13,0.23636363636363636,23,0.5652173913043478,0.006185333606448363,0.00901168418243866,0.005506239831447601,0.0
development,val_T,dev_valT_predictor_only_n3,1,101,PREDICTOR_ONLY,True,2,2,1.0,T,10,1,contrast (repeated within episode; not independent samples),0.004216644167900086,0.011129657268694677,0.4424242424242424,0.6,2,0.2,7,0.2857142857142857,1e-06,0.6,1,0.1,4,0.25,0.010199938132427634,0.007021935726515949,1.3220123946666718e-05,0.0
development,val_T,dev_valT_predictor_only_n3,2,201,PREDICTOR_ONLY,True,6,6,1.0,T,30,1,contrast (repeated within episode; not independent samples),0.003461134464790424,0.011115756903246121,0.5426028921023358,0.6333333333333333,7,0.23333333333333334,22,0.3181818181818182,1e-06,0.7666666666666667,3,0.1,15,0.2,0.011546124044495324,0.013447796211888392,7.861293852329254e-05,0.0
development,val_L,dev_valL_frozen_n3,0,1,FROZEN,True,6,0,,L,30,1,contrast (repeated within episode; not independent samples),0.014088428625836969,0.03265201585548575,0.47986651835372635,0.5,11,0.36666666666666664,17,0.6470588235294118,1e-06,0.6,7,0.23333333333333334,11,0.6363636363636364,0.014788330373509477,0.02705640366378551,0.004692437592893839,0.0
development,val_L,dev_valL_frozen_n3,1,101,FROZEN,True,6,0,,L,30,1,contrast (repeated within episode; not independent samples),0.013243038005505999,0.034679239363167184,0.5973303670745272,0.6333333333333333,8,0.26666666666666666,24,0.3333333333333333,1e-06,0.7333333333333333,6,0.2,18,0.3333333333333333,0.014804311624417702,0.02188960217560331,0.00566667877137661,0.0
development,val_L,dev_valL_frozen_n3,2,201,FROZEN,False,20,0,,L,100,1,contrast (repeated within episode; not independent samples),0.0026752996013965458,0.012271438442838567,0.18273717185195876,0.44,33,0.33,54,0.6111111111111112,1e-06,0.51,13,0.13,20,0.65,0.003640395166585222,0.004548863631207496,0.00548857357352972,0.0
development,val_L,dev_valL_official_n3,0,1,OFFICIAL_ADAJEPA,True,6,6,1.0,L,30,1,contrast (repeated within episode; not independent samples),0.0563703611609526,0.2595004102151045,0.3650723025583982,0.5333333333333333,11,0.36666666666666664,19,0.5789473684210527,1e-06,0.6,6,0.2,9,0.6666666666666666,0.016540802931801105,0.0709233894032271,0.007590005174279213,2.065866719931364e-05
