phase,split,run_path,run_id,arm,n_samples,deployed_real_environment_steps,executed_trajectories,official_mpc_cumulative_replay_environment_steps,official_final_eval_environment_steps,official_total_evaluation_environment_steps,wm_rollout_count,model_predict_call_count,model_encode_obs_call_count,model_forward_count,model_backward_count,oracle_environment_rollout_count,oracle_environment_steps,wall_clock_s,peak_vram_bytes,recorded_official_final_eval_environment_steps,model_forward_count_scope,wall_clock_scope
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3,dev_valT_frozen_n3,FROZEN,3,160,3,1260,300,1560,6433,32422,6978,39400,3200,352,20100,268.6287466,373828608,160,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2,dev_valT_official_n3,OFFICIAL_ADAJEPA,3,120,3,575,165,740,4825,24279,5258,29537,2424,264,11005,221.6177677,391319040,120,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
development,val_T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_predictor_only_n3,dev_valT_predictor_only_n3,PREDICTOR_ONLY,3,95,3,450,165,615,3820,19218,4163,23381,1919,209,8655,154.7933784,387150336,95,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,dev_valL_frozen_n3,FROZEN,3,160,3,1260,300,1560,6433,32422,6978,39400,3200,352,20100,269.63569789999997,373836800,160,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3,dev_valL_official_n3,OFFICIAL_ADAJEPA,3,105,3,435,135,570,4222,21222,4601,25823,2121,231,8880,171.1763515,391588352,105,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_predictor_only_n3,dev_valL_predictor_only_n3,PREDICTOR_ONLY,3,100,3,390,120,510,4021,20203,4382,24585,2020,220,8190,158.6295403,388822528,100,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_I,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_I_frozen_n5_attempt2,ood_valI_frozen_n5_attempt2,FROZEN,5,500,5,5250,500,5750,20101,101600,21802,123402,10000,1100,77250,874.477052,408510976,500,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_I,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_I_official_n5,ood_valI_official_n5,OFFICIAL_ADAJEPA,5,435,5,4340,500,4840,17488,88566,19055,107621,8787,957,64705,770.5404739,429567488,435,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_I,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_I_predictor_only_n5,ood_valI_predictor_only_n5,PREDICTOR_ONLY,5,435,5,4340,500,4840,17488,88566,19055,107621,8787,957,64705,771.2912557000001,426802688,435,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_small_tee,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_small_tee_frozen_n5,ood_smalltee_frozen_n5,FROZEN,5,175,5,720,225,945,7036,35293,7632,42925,3500,385,14745,283.2284397,408507904,175,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_small_tee,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_small_tee_official_n5,ood_smalltee_official_n5,OFFICIAL_ADAJEPA,5,220,5,1485,500,1985,8845,44608,9638,54246,4444,484,24915,372.9726638,429197312,220,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_small_tee,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_small_tee_predictor_only_n5,ood_smalltee_predictor_only_n5,PREDICTOR_ONLY,5,210,5,1230,425,1655,8443,42536,9200,51736,4242,462,21720,354.6729902,426430976,210,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_square,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_square_frozen_n5,ood_square_frozen_n5,FROZEN,5,430,5,4305,500,4805,17287,87327,18750,106077,8600,946,64125,759.7670783,408516096,430,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_square,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_square_official_n5,ood_square_official_n5,OFFICIAL_ADAJEPA,5,355,5,3330,500,3830,14272,72220,15551,87771,7171,781,50475,625.6485451,429566976,355,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
ood,val_square,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_square_predictor_only_n5,ood_square_predictor_only_n5,PREDICTOR_ONLY,5,500,5,5250,500,5750,20101,101865,21902,123767,10100,1100,77250,915.0225111,426796544,500,VWorldModel predict and encode_obs API calls; excludes direct reference-module calls,after workspace construction; excludes model loading and target preparation
