phase,split,run_id,arm,sample_id,adaptation_mpc_iter,next_query_mpc_iter,support_loss_delta,support_loss_improved,next_query_mae,next_query_thresholded_false_rate_all,next_query_sign_accuracy,next_query_max_env_worsening
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,0,1,-0.0016519478522241116,True,0.005883297789841891,0.4,0.6,0.0002140328288078308
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,1,2,-0.0016794248949736357,True,0.003938131965696812,0.2,0.6,0.0001847967505455017
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,2,3,-0.0006256815977394581,True,0.008186433929949999,0.2,0.6,0.0032844766974449158
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,3,4,-0.00034158513881266117,True,0.006862625014036894,0.4,0.6,0.0027066320180892944
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,4,5,-0.0001923288218677044,True,0.00047250278294086456,0.0,0.6,2.3283064365386963e-09
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,5,6,-0.0005763936787843704,True,0.0008334272773936391,0.2,0.6,0.00023495941422879696
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,6,7,0.0004996054340153933,False,9.472658857703208e-05,0.2,0.6,1.6032252460718155e-05
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,7,8,-0.000973682152107358,True,0.0005241759819909931,0.0,0.8,0.0
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,8,9,-0.00014574360102415085,True,2.800764050334692e-05,0.0,0.6,1.1641532182693481e-09
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,0,9,10,-0.00014054379425942898,True,0.00020420951768755912,0.0,0.8,1.1641532182693481e-09
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,1,0,1,-0.000368233653716743,True,0.00762978196144104,0.2,0.8,1.4256685972213745e-05
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,1,1,2,-0.0005539150442928076,True,0.011543768225237727,0.2,0.6,7.26059079170227e-05
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,1,2,3,-0.0002763520460575819,True,0.003713127365335822,0.0,0.6,0.0
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,1,3,4,-0.0002475650981068611,True,0.0022880104603245854,0.0,0.8,3.958120942115784e-09
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,1,4,5,2.1348590962588787e-05,False,0.00034934530267491935,0.2,0.6,5.602632882073522e-06
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,2,0,1,-0.0034973821602761745,True,0.0010034943930804729,0.0,0.6,7.450580596923828e-09
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,2,1,2,-0.001085867639631033,True,0.005917189829051495,0.0,0.8,0.0
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,2,2,3,-0.0007361429743468761,True,0.0012663123197853565,0.6,0.4,0.00016676448285579681
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,2,3,4,-0.00024326611310243607,True,0.009136788081377745,0.2,0.6,0.01670052483677864
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,2,4,5,-0.0005166558548808098,True,0.001054984936490655,0.0,0.6,5.131750367581844e-05
development,val_T,dev_valT_official_n3,OFFICIAL_ADAJEPA,2,5,6,-0.0002964467275887728,True,0.00010851563420146703,0.2,0.4,3.0044466257095337e-06
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,0,1,-0.0013096206821501255,True,0.004769079480320215,0.4,0.6,0.0009675566107034683
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,1,2,-0.001334975240752101,True,0.005968829616904259,0.4,0.6,0.0005583781749010086
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,2,3,-0.0007812925614416599,True,0.008789280336350203,0.2,0.8,0.0025468263775110245
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,3,4,-0.0004343218170106411,True,0.009087339974939823,0.4,0.6,0.005506239831447601
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,4,5,-0.00032042269594967365,True,0.0006951373070478439,0.0,0.6,9.606452658772469e-05
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,5,6,-0.0003653399180620909,True,0.0009862053906545044,0.4,0.4,0.0003535009454935789
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,6,7,6.960402242839336e-05,False,0.0007431420031934977,0.0,0.6,0.0
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,7,8,-0.0006421580910682678,True,0.0007022219942882657,0.2,0.6,0.00010924297384917736
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,8,9,-2.320040948688984e-05,True,0.0003059385227970779,0.0,0.4,1.6298145055770874e-09
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,0,9,10,-0.0003951769322156906,True,0.00034178948262706397,0.4,0.4,0.00012206402607262135
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,1,0,1,-0.00042513106018304825,True,0.0008154172450304031,0.0,0.6,1.257285475730896e-08
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,2,0,1,-0.0029050414450466633,True,0.0006475939415395259,0.2,0.8,4.9229711294174194e-06
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,2,1,2,-0.0009702076204121113,True,0.004532835818827153,0.0,0.4,9.862706065177917e-07
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,2,2,3,-0.0007944377139210701,True,0.0011832728050649166,0.2,0.8,7.531605660915375e-06
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,2,3,4,-0.0003622653894126415,True,0.0012884891591966152,0.0,0.8,0.0
development,val_T,dev_valT_predictor_only_n3,PREDICTOR_ONLY,2,4,5,-0.0005601283628493547,True,0.00047733662649989127,0.0,1.0,9.778887033462524e-09
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,0,0,1,-0.0020596489775925875,True,0.28429351677186787,0.2,0.6,0.004438560456037521
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,0,1,2,-0.000672265188768506,True,0.017721579223871232,0.2,0.4,0.001083998940885067
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,0,2,3,-0.0005823662504553795,True,0.01541941612958908,0.2,0.6,0.0016231727786362171
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,0,3,4,-0.0001772744581103325,True,0.013123609591275454,0.2,0.8,0.007590005174279213
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,0,4,5,-0.0009666541591286659,True,0.0004497138084843755,0.2,0.6,2.199312439188361e-05
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,1,0,1,-0.0011405753903090954,True,0.007220367342233658,0.4,0.6,0.0027472656220197678
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,1,1,2,-0.002940152771770954,True,0.06270132772624493,0.0,0.8,4.2654573917388916e-07
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,1,2,3,-0.00018081162124872208,True,0.027166634704917668,0.2,0.8,0.12956377118825912
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,1,3,4,-0.0007174951024353504,True,0.0020973513834178447,0.2,0.8,0.003470783121883869
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,1,4,5,-0.00023726606741547585,True,0.004947835672646761,0.4,0.6,0.02261747093871236
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,0,1,-0.0014071294572204351,True,0.006263768766075373,0.2,0.6,0.0017510026227682829
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,1,2,-0.0009248452261090279,True,0.01731325425207615,0.2,0.6,3.50363552570343e-06
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,2,3,-0.0005419079679995775,True,0.02865469139069319,0.2,0.8,0.0007571056485176086
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,3,4,-0.000597943551838398,True,0.005131251737475395,0.4,0.4,0.00965593010187149
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,4,5,-0.0005027868319302797,True,0.003156798891723156,0.2,0.4,0.0004926258698105812
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,5,6,-0.0007705111056566238,True,0.0014232560992240907,0.2,0.4,2.6986468583345413e-05
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,6,7,-0.0011047252919524908,True,0.0009397371206432581,0.2,0.6,0.00010241498239338398
development,val_L,dev_valL_official_n3,OFFICIAL_ADAJEPA,2,7,8,-0.000977042829617858,True,0.0001249849214218557,0.0,0.6,8.852395694702864e-06
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,0,0,1,-0.0019252314232289791,True,0.28225290328264235,0.2,0.8,0.0009225010871887207
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,0,1,2,-0.0005799562204629183,True,0.017390766041353346,0.4,0.4,0.001068520825356245
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,0,2,3,-0.0006739564705640078,True,0.011612461507320404,0.4,0.6,0.001400685403496027
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,0,3,4,-0.00039091799408197403,True,0.009333862038329244,0.2,0.8,0.00176193006336689
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,0,4,5,-0.0006807595491409302,True,0.0004696235177107155,0.2,0.4,3.183085937052965e-06
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,0,1,-0.0016574906185269356,True,0.007748441677540541,0.6,0.4,0.0053186677396297455
development,val_L,dev_valL_predictor_only_n3,PREDICTOR_ONLY,1,1,2,-0.0016599821392446756,True,0.07072109170258045,0.4,0.4,8.926261216402054e-05
