phase,split,arm,n_temporally_aligned_pairs,support_loss_improvement_rate,support_loss_delta_mean,next_query_mae_mean,next_query_thresholded_false_rate_mean,spearman_support_delta_vs_next_query_mae,spearman_support_delta_vs_next_query_false_rate
development,val_T,OFFICIAL_ADAJEPA,21,0.9047619047619048,-0.0006489621342292853,0.003382802714172396,0.15238095238095242,-0.4506493506493507,-0.1548385796669446
development,val_T,PREDICTOR_ONLY,16,0.9375,-0.0007221322448458523,0.0025833693565800787,0.175,-0.40294117647058825,-0.4326981266949464
development,val_L,OFFICIAL_ADAJEPA,18,1.0,-0.0009167445694199867,0.027674949751882297,0.21111111111111114,0.011351909184726523,0.30950986031008926
development,val_L,PREDICTOR_ONLY,17,1.0,-0.0008494806448545526,0.03639231441912296,0.28235294117647064,-0.16421568627450983,0.015421769724943484
ood,val_I,OFFICIAL_ADAJEPA,82,0.8902439024390244,-0.0032459706388890926,0.00675767831867788,0.24634146341463414,-0.4565144045014748,-0.21888539371587826
ood,val_I,PREDICTOR_ONLY,82,0.9390243902439024,-0.0033547646769254307,0.007459837436766886,0.23658536585365852,-0.48526898923607714,-0.0937309852650148
ood,val_small_tee,OFFICIAL_ADAJEPA,39,0.9230769230769231,-0.0019124570654896207,0.016073077696805393,0.2512820512820513,-0.2417004048582996,-0.12204281920208288
ood,val_small_tee,PREDICTOR_ONLY,37,0.918918918918919,-0.0015730307204648852,0.018800563575397874,0.23243243243243247,-0.25438596491228066,0.21779364947092283
ood,val_square,OFFICIAL_ADAJEPA,66,0.9848484848484849,-0.008962879359552806,0.015418525449367185,0.3151515151515151,-0.31577079636781136,-0.45947333554791253
ood,val_square,PREDICTOR_ONLY,95,0.9578947368421052,-0.0046409939954939645,0.011246722691300273,0.25052631578947365,-0.499062150055991,-0.28115723651722874
