phase,split,arm,n_episodes,n_success,success_rate,success_binary_sample_std,success_wilson95_low,success_wilson95_high,final_state_dist_mean,final_state_dist_sample_std,final_state_dist_median,final_state_dist_max,mean_returned_model_actions,run_id,stdout_log,success_rate_delta_vs_frozen,state_dist_mean_delta_vs_frozen
development,val_T,FROZEN,3,2,0.6666666666666666,0.5773502691896258,0.2076549551264879,0.9385096847238394,30.001080666666667,24.374672123376293,29.314512,54.711784,10.666666666666666,dev_valT_frozen_n3,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_frozen_n3_stdout.log,0.0,0.0
development,val_T,OFFICIAL_ADAJEPA,3,3,1.0,0.0,0.43849391955098227,1.0,34.96235166666667,22.693521362910698,33.484566,58.35865,8.0,dev_valT_official_n3,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2_stdout.log,0.33333333333333337,4.9612710000000035
development,val_T,PREDICTOR_ONLY,3,3,1.0,0.0,0.43849391955098227,1.0,45.798961999999996,14.195185313741137,46.49674,59.63239,6.333333333333333,dev_valT_predictor_only_n3,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_predictor_only_n3_stdout.log,0.33333333333333337,15.79788133333333
development,val_L,FROZEN,3,2,0.6666666666666666,0.5773502691896258,0.2076549551264879,0.9385096847238394,27.390170333333334,6.647736207991435,29.71479,32.563435,10.666666666666666,dev_valL_frozen_n3,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3_stdout.log,0.0,0.0
development,val_L,OFFICIAL_ADAJEPA,3,3,1.0,0.0,0.43849391955098227,1.0,28.811845333333334,7.682560229481923,30.49331,35.514404,7.0,dev_valL_official_n3,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_official_n3_stdout.log,0.33333333333333337,1.4216750000000005
development,val_L,PREDICTOR_ONLY,3,3,1.0,0.0,0.43849391955098227,1.0,23.098450333333332,6.066820814367466,19.623804,30.103737,6.666666666666667,dev_valL_predictor_only_n3,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_predictor_only_n3_stdout.log,0.33333333333333337,-4.2917200000000015
ood,val_I,FROZEN,5,0,0.0,0.0,-2.7755575615628914e-17,0.43449149475208104,78.380029,23.414883520205798,71.23913,116.48197,20.0,ood_valI_frozen_n5_attempt2,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_I_frozen_n5_attempt2_stdout.log,0.0,0.0
ood,val_I,OFFICIAL_ADAJEPA,5,1,0.2,0.44721359549995804,0.03622316096978745,0.6244717358814613,113.6034942,70.32856501722866,76.618904,189.76826,17.4,ood_valI_official_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_I_official_n5_stdout.log,0.2,35.22346520000001
ood,val_I,PREDICTOR_ONLY,5,1,0.2,0.44721359549995804,0.03622316096978745,0.6244717358814613,130.1131394,118.93241827105396,85.64922,336.33295,17.4,ood_valI_predictor_only_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_I_predictor_only_n5_stdout.log,0.2,51.7331104
ood,val_small_tee,FROZEN,5,5,1.0,0.0,0.5655085052479191,1.0000000000000002,69.2247082,38.03863841528935,62.157513,128.34007,7.0,ood_smalltee_frozen_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_small_tee_frozen_n5_stdout.log,0.0,0.0
ood,val_small_tee,OFFICIAL_ADAJEPA,5,4,0.8,0.4472135954999579,0.3755282641185388,0.9637768390302125,76.78016840000001,32.247427371220006,60.891865,127.36234,8.8,ood_smalltee_official_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_small_tee_official_n5_stdout.log,-0.19999999999999996,7.555460200000013
ood,val_small_tee,PREDICTOR_ONLY,5,5,1.0,0.0,0.5655085052479191,1.0000000000000002,82.39094159999999,28.925083324243797,77.638916,112.87508,8.4,ood_smalltee_predictor_only_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_small_tee_predictor_only_n5_stdout.log,0.0,13.166233399999996
ood,val_square,FROZEN,5,1,0.2,0.44721359549995804,0.03622316096978745,0.6244717358814613,650.039358,1188.8886254194367,184.51761,2773.0708,17.2,ood_square_frozen_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_square_frozen_n5_stdout.log,0.0,0.0
ood,val_square,OFFICIAL_ADAJEPA,5,2,0.4,0.5477225575051662,0.1176182311592533,0.769280067791163,135.609245,99.13855202045207,96.20322,258.90878,14.2,ood_square_official_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_square_official_n5_stdout.log,0.2,-514.430113
ood,val_square,PREDICTOR_ONLY,5,0,0.0,0.0,-2.7755575615628914e-17,0.43449149475208104,168.909616,63.81202248458616,183.02565,236.95726,20.0,ood_square_predictor_only_n5,D:\EV-TTT\adajepa_official_51d8665\artifacts\ood\val_square_predictor_only_n5_stdout.log,-0.2,-481.12974199999996
