adaptation_buffer_ids,arm,encoder_lr,finetune_encoder,merge_contiguous_segments,mpc_iter,official_pre_update_step_losses,optimizer,predictor_lr,run_id,sample_id,seed,shape,support_loss_eval_after,support_loss_eval_before,support_loss_eval_mode,versions_after,versions_before
"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,1e-05,True,True,0,[0.006578671745955944],adam,0.0005,pass1_valT_s0_official,0,1,T,0.002869546879082918,0.00452149473130703,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 1, ""model_version"": 1, ""objective_version"": 0, ""predictor_version"": 1}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 0, ""model_version"": 0, ""objective_version"": 0, ""predictor_version"": 0}"
"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",OFFICIAL_ADAJEPA,1e-05,True,True,1,[0.006151755806058645],adam,0.0005,pass1_valT_s0_official,0,1,T,0.003069113241508603,0.004748538136482239,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 2, ""model_version"": 2, ""objective_version"": 0, ""predictor_version"": 2}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 1, ""model_version"": 1, ""objective_version"": 0, ""predictor_version"": 1}"
"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",OFFICIAL_ADAJEPA,1e-05,True,True,2,[0.007296521682292223],adam,0.0005,pass1_valT_s0_official,0,1,T,0.002981766825541854,0.003607448423281312,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 3, ""model_version"": 3, ""objective_version"": 0, ""predictor_version"": 3}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 2, ""model_version"": 2, ""objective_version"": 0, ""predictor_version"": 2}"
"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",OFFICIAL_ADAJEPA,1e-05,True,True,3,[0.006584994029253721],adam,0.0005,pass1_valT_s0_official,0,1,T,0.0029499512165784836,0.0032915363553911448,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 4, ""model_version"": 4, ""objective_version"": 0, ""predictor_version"": 4}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 3, ""model_version"": 3, ""objective_version"": 0, ""predictor_version"": 3}"
"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",OFFICIAL_ADAJEPA,1e-05,True,True,4,[0.005606203339993954],adam,0.0005,pass1_valT_s0_official,0,1,T,0.002686672378331423,0.002879001200199127,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 5, ""model_version"": 5, ""objective_version"": 0, ""predictor_version"": 5}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 4, ""model_version"": 4, ""objective_version"": 0, ""predictor_version"": 4}"
"[""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4"", ""s0_executed_mpc5""]",OFFICIAL_ADAJEPA,1e-05,True,True,5,[0.006287917494773865],adam,0.0005,pass1_valT_s0_official,0,1,T,0.0025339722633361816,0.003110365942120552,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 6, ""model_version"": 6, ""objective_version"": 0, ""predictor_version"": 6}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 5, ""model_version"": 5, ""objective_version"": 0, ""predictor_version"": 5}"
"[""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4"", ""s0_executed_mpc5"", ""s0_executed_mpc6""]",OFFICIAL_ADAJEPA,1e-05,True,True,6,[0.006049202289432287],adam,0.0005,pass1_valT_s0_official,0,1,T,0.003390052355825901,0.0028904469218105078,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 7, ""model_version"": 7, ""objective_version"": 0, ""predictor_version"": 7}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 6, ""model_version"": 6, ""objective_version"": 0, ""predictor_version"": 6}"
"[""s0_executed_mpc3"", ""s0_executed_mpc4"", ""s0_executed_mpc5"", ""s0_executed_mpc6"", ""s0_executed_mpc7""]",OFFICIAL_ADAJEPA,1e-05,True,True,7,[0.006249274592846632],adam,0.0005,pass1_valT_s0_official,0,1,T,0.002590347547084093,0.003564029699191451,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 8, ""model_version"": 8, ""objective_version"": 0, ""predictor_version"": 8}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 7, ""model_version"": 7, ""objective_version"": 0, ""predictor_version"": 7}"
"[""s0_executed_mpc4"", ""s0_executed_mpc5"", ""s0_executed_mpc6"", ""s0_executed_mpc7"", ""s0_executed_mpc8""]",OFFICIAL_ADAJEPA,1e-05,True,True,8,[0.006021957378834486],adam,0.0005,pass1_valT_s0_official,0,1,T,0.0026842239312827587,0.0028299675323069096,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 9, ""model_version"": 9, ""objective_version"": 0, ""predictor_version"": 9}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 8, ""model_version"": 8, ""objective_version"": 0, ""predictor_version"": 8}"
"[""s0_executed_mpc5"", ""s0_executed_mpc6"", ""s0_executed_mpc7"", ""s0_executed_mpc8"", ""s0_executed_mpc9""]",OFFICIAL_ADAJEPA,1e-05,True,True,9,[0.005446750205010176],adam,0.0005,pass1_valT_s0_official,0,1,T,0.002005729591473937,0.002146273385733366,deterministic_module_eval,"{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 10, ""model_version"": 10, ""objective_version"": 0, ""predictor_version"": 10}","{""action_unit_version"": ""pushobj_norm_envapi_v1"", ""encoder_version"": 9, ""model_version"": 9, ""objective_version"": 0, ""predictor_version"": 9}"
