kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms,split,sample
flow,single,1,64,0.0584059471833917,0.37372143174178446,0.1562820384990555,T,1
flow,H1,1,16,0.04494055069528056,0.3831280167104617,0.11729904558048315,T,1
flow,H2,1,16,0.08628737417773767,0.6270904865891895,0.13759955863317858,T,1
flow,H3,1,16,0.10898404839169364,0.7915549617729171,0.13768348839301345,T,1
flow,H4,1,16,0.12345504424806478,0.8576335602224545,0.14394847633532762,T,1
flow,H5,1,16,0.1404172236571127,0.923734180278845,0.15201042318768085,T,1
flow,single,2,64,0.059005483202156546,0.37372143174178446,0.15788627087066612,T,1
flow,H1,2,16,0.04530759221662213,0.3831280167104617,0.11825705832121924,T,1
flow,H2,2,16,0.083838552473474,0.6270904865891895,0.13369450544447042,T,1
flow,H3,2,16,0.10640823961069903,0.7915549617729171,0.13442937603772567,T,1
flow,H4,2,16,0.1217829564566963,0.8576335602224545,0.141998823396216,T,1
flow,H5,2,16,0.14207712096838376,0.923734180278845,0.1538073658002948,T,1
packed,single,1,64,0.06472880981543719,0.37372143174178446,0.17320068991965196,T,1
packed,H1,1,16,0.05583054342004276,0.3831280167104617,0.14572294633893906,T,1
packed,H2,1,16,0.079495965553875,0.6270904865891895,0.12676952888611312,T,1
packed,H3,1,16,0.09921504017509956,0.7915549617729171,0.12534194713766772,T,1
packed,H4,1,16,0.09514302210326073,0.8576335602224545,0.11093668265334948,T,1
packed,H5,1,16,0.10420684536281238,0.923734180278845,0.11281042489015158,T,1
