split,sample,arm,scope,true_outcome_rms,F0_reference_rms,D_change_from_flow0_rms,refinement_delta_rms,refined_true_outcome_rms,sealed_path_replay_rms
T,0,flow0,hold_TF_5_10,0.24058450599637213,0.24092633527029658,0.0,4.640942910943268e-05,0.24059203900582168,0.0
T,0,flow0,hold_self_history_H2_0_10,0.2539511714224809,0.2479580246998165,0.0,0.00048307382959716347,0.25418372031882275,0.0
T,0,flowD,hold_TF_5_10,0.23743855660352303,0.23959487216916042,0.013187437689199517,3.4681779639036993e-05,0.23745013516619642,0.0
T,0,flowD,hold_self_history_H2_0_10,0.2354360088628258,0.2530950646300957,0.087707158501399,0.0005517755692802637,0.23575401718938244,0.0
T,1,flow0,hold_TF_5_10,0.2878305369885368,0.28878804658029716,0.0,0.00034222956550341454,0.2880252192245522,0.0
T,1,flow0,hold_self_history_H2_0_10,0.281043095777105,0.250390150691638,0.0,0.005677429460123548,0.281043533199287,0.0
T,1,flowD,hold_TF_5_10,0.3026462303555183,0.32175052976824015,0.06113779212243878,0.0007837706095789009,0.30314325592282,0.0
T,1,flowD,hold_self_history_H2_0_10,0.24287046762960152,0.28885430493622605,0.13381578359579563,0.006856436307939496,0.24462939355615138,0.0
L,0,flow0,hold_TF_5_10,0.24001033539670838,0.2407253876505987,0.0,0.00036863968914106434,0.24001019570429727,0.0
L,0,flow0,hold_self_history_H2_0_10,0.21782055161260755,0.20484606010478723,0.0,0.0009104618054556056,0.21842132296984657,0.0
L,0,flowD,hold_TF_5_10,0.21427152897510598,0.21467262735727125,0.03216999138794532,0.0004059307544132357,0.21439804314754063,0.0
L,0,flowD,hold_self_history_H2_0_10,0.19056383934063292,0.18631730997939816,0.0555795563488567,0.000885474887199323,0.19118576585495095,0.0
L,1,flow0,hold_TF_5_10,0.4092300857424613,0.4185621381088499,0.0,0.0026267889623916006,0.41137168269644064,0.0
L,1,flow0,hold_self_history_H2_0_10,0.37400642535611184,0.3779773534242685,0.0,0.003226235248727074,0.3762020079208807,0.0
L,1,flowD,hold_TF_5_10,0.4185473991040721,0.4280133143464171,0.01868068429400491,0.0023574084513982504,0.4205454255400993,0.0
L,1,flowD,hold_self_history_H2_0_10,0.4028316983308283,0.4240045136490378,0.10794757177105227,0.0027609424058460366,0.40521778505901324,0.0
