arm,queries,rms,visual_mse,proprio_mse,split,sample,scope
F0,1,0.0781115244628138,0.005092729814350605,0.0010086804395541549,T,0,support_0_5
F0,1,0.08058527306524557,0.005510549992322922,0.0009834362426772714,T,0,hold_TF_5_10
F0,4,0.08848108388690527,0.0071957726031541824,0.0006331296026473865,T,0,hold_overlapping_1_6_to_4_9
F0,1,0.10734390116490766,0.009876520372927189,0.0016461927443742752,T,0,hold_self_history_H2_0_10
flow0,1,0.09920030045938211,0.005973745137453079,0.0038669544737786055,T,0,support_0_5
flow0,1,0.24058450599637213,0.025625374168157578,0.03225553035736084,T,0,hold_TF_5_10
flow0,4,0.160583623685246,0.010245098965242505,0.0155420012306422,T,0,hold_overlapping_1_6_to_4_9
flow0,1,0.2539511714224809,0.030794039368629456,0.033697158098220825,T,0,hold_self_history_H2_0_10
flowD,1,0.026891942073608236,0.0004900216590613127,0.0002331548894289881,T,0,support_0_5
flowD,1,0.237438560525896,0.025022512301802635,0.03135455772280693,T,0,hold_TF_5_10
flowD,4,0.13121543290538107,0.005948225676547736,0.011269264155998826,T,0,hold_overlapping_1_6_to_4_9
flowD,1,0.2354360049070903,0.024047886952757835,0.03138222545385361,T,0,hold_self_history_H2_0_10
packed0,1,0.13531838095650642,0.013876445591449738,0.004434618633240461,T,0,support_0_5
packed0,1,0.24415273254889916,0.029902806505560875,0.02970775030553341,T,0,hold_TF_5_10
packed0,4,0.1889829836376676,0.013306980021297932,0.022407588083297014,T,0,hold_overlapping_1_6_to_4_9
packed0,1,0.26405773186752146,0.0361584797501564,0.03356800600886345,T,0,hold_self_history_H2_0_10
packedD,1,0.03479100025254614,0.0005706825759261847,0.0006397311226464808,T,0,support_0_5
packedD,1,0.27491947886319,0.04358842596411705,0.031992293894290924,T,0,hold_TF_5_10
packedD,4,0.16722055033580524,0.008298739208839834,0.01966397324576974,T,0,hold_overlapping_1_6_to_4_9
packedD,1,0.2665074045937838,0.04036626219749451,0.030659934505820274,T,0,hold_self_history_H2_0_10
F0,1,0.08227468420964916,0.006112699396908283,0.0006564242648892105,T,1,support_0_5
F0,1,0.1609575416530001,0.02287524938583374,0.003032080829143524,T,1,hold_TF_5_10
F0,4,0.12620033810861014,0.015039767371490598,0.0008867579672369175,T,1,hold_overlapping_1_6_to_4_9
F0,1,0.2361809837974136,0.05090738460421562,0.004874072503298521,T,1,hold_self_history_H2_0_10
