arm,queries,rms,visual_mse,proprio_mse,split,sample,scope
F0,1,0.059061980490411774,0.002999910619109869,0.0004884069203399122,L,0,support_0_5
F0,1,0.06596962661871686,0.003589050378650427,0.0007629412575624883,L,0,hold_TF_5_10
F0,4,0.06298350241649014,0.0034319523838348687,0.0005349691928131506,L,0,hold_overlapping_1_6_to_4_9
F0,1,0.07019817268122754,0.004164000041782856,0.0007637834060005844,L,0,hold_self_history_H2_0_10
flow0,1,0.0680915832476789,0.002440475858747959,0.0021959878504276276,L,0,support_0_5
flow0,1,0.24001033927705198,0.02459602616727352,0.033008936792612076,L,0,hold_TF_5_10
flow0,4,0.12057262573857633,0.004316783044487238,0.010220975033007562,L,0,hold_overlapping_1_6_to_4_9
flow0,1,0.21782055161260755,0.0166330486536026,0.030812744051218033,L,0,hold_self_history_H2_0_10
flowD,1,0.019755379830808717,0.00025299604749307036,0.0001372789847664535,L,0,support_0_5
flowD,1,0.21427152462864618,0.018371757119894028,0.027540529146790504,L,0,hold_TF_5_10
flowD,4,0.09795741031414763,0.0028695880027953535,0.006726066232658923,L,0,hold_overlapping_1_6_to_4_9
flowD,1,0.19056383934063292,0.013480588793754578,0.022833988070487976,L,0,hold_self_history_H2_0_10
packed0,1,0.1065394964797436,0.0022964738309383392,0.00905419047921896,L,0,support_0_5
packed0,1,0.22240435422405871,0.020826660096645355,0.028637036681175232,L,0,hold_TF_5_10
packed0,4,0.1334220302919483,0.0049687837599776685,0.012832654407247901,L,0,hold_overlapping_1_6_to_4_9
packed0,1,0.27333195215999057,0.023602759465575218,0.05110759660601616,L,0,hold_self_history_H2_0_10
packedD,1,0.025999162615152897,0.00027334579499438405,0.00040261066169478,L,0,support_0_5
packedD,1,0.1971804463262998,0.018547846004366875,0.020332282409071922,L,0,hold_TF_5_10
packedD,4,0.10606696017659839,0.0038026379770599306,0.0074475620640441775,L,0,hold_overlapping_1_6_to_4_9
packedD,1,0.20587637268337214,0.01912788115441799,0.023257199674844742,L,0,hold_self_history_H2_0_10
