kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms
flow,single,1,64,0.028210323892677736,0.3108836474783272,0.09074238584595987
flow,H1,1,16,0.03990868969121606,0.3470056425262464,0.11500876297190901
flow,H2,1,16,0.04911825293181324,0.6453802354930159,0.07610746383376776
flow,H3,1,16,0.06510107589378682,0.8513099575913555,0.07647164856144739
flow,H4,1,16,0.09417717687044301,0.9971094375989321,0.09445019104144108
flow,H5,1,16,0.12327559724087495,1.0777797975608627,0.11437920577084625
packed,single,1,64,0.06704183440204319,0.3108836474783272,0.21564927890495403
packed,H1,1,16,0.05118979202252059,0.3470056425262464,0.14751861569123836
packed,H2,1,16,0.08471579097623332,0.6453802354930159,0.131264929288573
packed,H3,1,16,0.09291877405096138,0.8513099575913555,0.1091479938915082
packed,H4,1,16,0.10468163651799223,0.9971094375989321,0.10498510250797403
packed,H5,1,16,0.13287224547741994,1.0777797975608627,0.12328329569558162
