split,sample,arm,seconds,parameters
T,0,flow0,8.225482,323230
T,0,packed0,1.6855021000000008,222858
T,0,flowD,2.5366298,323230
T,0,packedD,0.42593360000000047,222858
T,1,flow0,8.1168911,323230
T,1,packed0,1.6834322000000022,222858
T,1,flowD,2.5116303,323230
T,1,packedD,0.4504302999999972,222858
L,0,flow0,8.233794200000002,323230
L,0,packed0,1.671402999999998,222858
L,0,flowD,2.560586200000003,323230
L,0,packedD,0.42163479999999964,222858
L,1,flow0,8.2774505,323230
L,1,packed0,1.6702623999999986,222858
L,1,flowD,2.5167141000000015,323230
L,1,packedD,0.43552600000000297,222858
