arm,queries,rms,visual_mse,proprio_mse,split,sample,scope
F0,1,0.08227468420964916,0.006112699396908283,0.0006564242648892105,T,1,support_0_5
F0,1,0.1609575416530001,0.02287524938583374,0.003032080829143524,T,1,hold_TF_5_10
F0,4,0.12620033810861014,0.015039767371490598,0.0008867579672369175,T,1,hold_overlapping_1_6_to_4_9
F0,1,0.2361809837974136,0.05090738460421562,0.004874072503298521,T,1,hold_self_history_H2_0_10
flow0,1,0.08827417349778632,0.007212857715785503,0.0005794719909317791,T,1,support_0_5
flow0,1,0.28783053375287393,0.06479863822460175,0.01804777793586254,T,1,hold_TF_5_10
flow0,4,0.16048303834386884,0.01842045155353844,0.007334354042541236,T,1,hold_overlapping_1_6_to_4_9
flow0,1,0.28104309412020156,0.06564632803201675,0.013338892720639706,T,1,hold_self_history_H2_0_10
flowD,1,0.020025864286700265,0.00038508669240400195,1.5948548025335185e-05,T,1,support_0_5
flowD,1,0.3026462272782536,0.06608577072620392,0.02550896815955639,T,1,hold_TF_5_10
flowD,4,0.14541558848943612,0.012606915086507797,0.008538778289221227,T,1,hold_overlapping_1_6_to_4_9
flowD,1,0.24287046571227788,0.04828011244535446,0.010705950669944286,T,1,hold_self_history_H2_0_10
packed0,1,0.09845717739371722,0.009125041775405407,0.000568774004932493,T,1,support_0_5
packed0,1,0.4720866893725898,0.18881908059120178,0.03404676169157028,T,1,hold_TF_5_10
packed0,4,0.3446209056025011,0.03846922027878463,0.08029434829950333,T,1,hold_overlapping_1_6_to_4_9
packed0,1,0.4775334535359064,0.19119641184806824,0.03684178739786148,T,1,hold_self_history_H2_0_10
packedD,1,0.025121181698112106,0.0006087507936172187,2.232297629234381e-05,T,1,support_0_5
packedD,1,0.4881108139128244,0.2059578150510788,0.03229435160756111,T,1,hold_TF_5_10
packedD,4,0.3311962796147564,0.033447845140472054,0.07624313049018383,T,1,hold_overlapping_1_6_to_4_9
packedD,1,0.495447101565185,0.2127438634634018,0.03272396698594093,T,1,hold_self_history_H2_0_10
