analysis,variant,trainable,anchor_id,split,shape,sample_id,mpc_iter,objective_stage,rng_seed,candidate_id,gd_iter,side,c_model,c_env_ref,delta_model_from_g0_before,delta_env_from_g0_before,contrast_error_from_g0_before,is_exact_model_best,is_exact_env_best
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g0_before,0,before,0.01677333563566208,0.02916865609586239,0.0,0.0,0.0,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g0_after,0,after,0.031096968799829483,0.08128388226032257,0.014323633164167404,0.05211522616446018,-0.03779159300029278,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g24_before,24,before,0.004476700443774462,0.018234284594655037,-0.012296635191887617,-0.010934371501207352,-0.0013622636906802654,False,True
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g24_after,24,after,0.004051839001476765,0.01956035941839218,-0.012721496634185314,-0.009608296677470207,-0.003113199956715107,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g49_before,49,before,0.003951876424252987,0.019693050533533096,-0.012821459211409092,-0.009475605562329292,-0.0033458536490797997,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g49_after,49,after,0.003921763971447945,0.018965603783726692,-0.012851571664214134,-0.010203052312135696,-0.002648519352078438,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g74_before,74,before,0.003859196323901415,0.018635181710124016,-0.012914139311760664,-0.010533474385738373,-0.002380664926022291,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g74_after,74,after,0.003859272925183177,0.01865268498659134,-0.012914062710478902,-0.01051597110927105,-0.0023980916012078524,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g99_before,99,before,0.0038529138546437025,0.018755385652184486,-0.012920421781018376,-0.010413270443677902,-0.002507151337340474,False,False
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g99_after,99,after,0.0038529124576598406,0.018755394965410233,-0.012920423178002238,-0.010413261130452156,-0.002507162047550082,True,False
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g0_before,0,before,0.022979913279414177,0.02916865609586239,0.0,0.0,0.0,False,False
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,g0_after,0,after,0.034595705568790436,0.08128388226032257,0.011615792289376259,0.05211522616446018,-0.04049943387508392,False,False
