analysis,variant,trainable,anchor_id,split,shape,sample_id,mpc_iter,objective_stage,rng_seed,pool_size,model_best_candidate_id,env_best_candidate_id,model_best_cost,env_best_cost,selected_env_cost,r_selected,numerical_tie_epsilon,model_tie_count_epsilon,r_selected_tie_min,r_selected_tie_max,model_best_margin,environment_pool_span,mean_abs_contrast_error,common_support_loss_before,common_support_loss_after,common_support_loss_delta,training_support_loss_before,training_support_loss_after,training_support_loss_delta,update_steps,processed_transitions,unique_factual_transitions,step_losses,fixed_encoder_unchanged,base_reset_exact,candidate_rollouts
b3_time_separated_experience,frozen,none,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g99_after,g24_before,0.0045935180969536304,0.014493242837488651,0.019398214295506477,0.004904971458017826,1e-06,2,0.004904971458017826,0.00490498635917902,3.259629011154175e-09,0.04188604187220335,0.009055853262543679,0.004657716490328312,0.004657716490328312,0.0,0.004657716490328312,0.004657716490328312,0.0,0,0,0,[],True,True,10
b3_time_separated_experience,e1_once,predictor,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g24_after,g24_before,0.0064501636661589146,0.014493242837488651,0.0155390789732337,0.0010458361357450485,1e-06,1,0.0010458361357450485,0.0010458361357450485,0.00032981717959046364,0.04188604187220335,0.010416422178968788,0.004657716490328312,0.003860404947772622,-0.0007973115425556898,0.005074666813015938,0.0034738495014607906,-0.0016008173115551472,1,2,2,[0.006757976952940226],True,True,10
b3_time_separated_experience,e2_once,predictor,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g49_after,g24_before,0.006605236791074276,0.014493242837488651,0.018165094777941704,0.0036718519404530525,1e-06,1,0.0036718519404530525,0.0036718519404530525,8.560298010706902e-05,0.04188604187220335,0.006892275623977184,0.004657716490328312,0.004710020497441292,5.230400711297989e-05,0.003732181154191494,0.0031374560203403234,-0.0005947251338511705,1,2,2,[0.005684885662049055],True,True,10
b3_time_separated_experience,e1_then_e2,predictor,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g24_before,g24_before,0.007089591585099697,0.014493242837488651,0.014493242837488651,0.0,1e-06,1,0.0,0.0,3.110198304057121e-05,0.04188604187220335,0.008454762073233724,0.004657716490328312,0.003918771632015705,-0.0007389448583126068,0.004657716490328312,0.003918771632015705,-0.0007389448583126068,2,4,4,"[0.006757976952940226,0.007376266643404961]",True,True,10
b3_time_separated_experience,e1_then_e1,predictor,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g24_before,g24_before,0.006023838184773922,0.014493242837488651,0.014493242837488651,0.0,1e-06,1,0.0,0.0,0.00015050405636429787,0.04188604187220335,0.007231794018298388,0.004657716490328312,0.004011382348835468,-0.0006463341414928436,0.005074666813015938,0.0029211421497166157,-0.002153524663299322,2,4,2,"[0.006757976952940226,0.007529021240770817]",True,True,10
b3_time_separated_experience,e2_then_e2,predictor,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g24_before,g24_before,0.007046254351735115,0.014493242837488651,0.014493242837488651,0.0,1e-06,1,0.0,0.0,0.00030845310539007187,0.04188604187220335,0.0049090076237916945,0.004657716490328312,0.0045094797387719154,-0.00014823675155639648,0.003732181154191494,0.002912129508331418,-0.000820051645860076,2,4,2,"[0.005684885662049055,0.006096931640058756]",True,True,10
b3_time_separated_experience,frozen,none,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g99_after,g99_after,0.004173420835286379,0.005218733102083206,0.005218733102083206,0.0,1e-06,2,0.0,2.421438694000244e-08,1.862645149230957e-09,0.018625391647219658,0.0034795027691870927,0.002469290280714631,0.002469290280714631,0.0,0.002469290280714631,0.002469290280714631,0.0,0,0,0,[],True,True,10
b3_time_separated_experience,e1_once,predictor,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.004988805390894413,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,3.3937394618988037e-06,0.018625391647219658,0.0034394357353448868,0.002469290280714631,0.0019551424775272608,-0.0005141478031873703,0.0023461070377379656,0.0018375038634985685,-0.000508603174239397,1,2,2,[0.004066223744302988],True,True,10
b3_time_separated_experience,e2_once,predictor,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.005168597213923931,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,5.029141902923584e-06,0.018625391647219658,0.003672660514712334,0.002469290280714631,0.0019425451755523682,-0.0005267451051622629,0.0023265304043889046,0.0017133716028183699,-0.0006131588015705347,1,2,2,[0.0042588054202497005],True,True,10
b3_time_separated_experience,e1_then_e2,predictor,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.007238341495394707,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,1.424551010131836e-05,0.018625391647219658,0.0018300792668014764,0.002469290280714631,0.0016274634981527925,-0.0008418267825618386,0.002469290280714631,0.0016274634981527925,-0.0008418267825618386,2,4,4,"[0.004066223744302988,0.004128677304834127]",True,True,10
b3_time_separated_experience,e1_then_e1,predictor,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.005817328579723835,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,1.2401491403579712e-05,0.018625391647219658,0.0022659126669168474,0.002469290280714631,0.001581671298481524,-0.0008876189822331071,0.0023461070377379656,0.0013749144272878766,-0.000971192610450089,2,4,2,"[0.004066223744302988,0.0039069983176887035]",True,True,10
b3_time_separated_experience,e2_then_e2,predictor,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.006263046991080046,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,1.1890660971403122e-05,0.018625391647219658,0.0023884495254606008,0.002469290280714631,0.00162881996948272,-0.0008404703112319112,0.0023265304043889046,0.0013038604520261288,-0.0010226699523627758,2,4,2,"[0.0042588054202497005,0.004024083260446787]",True,True,10
b3_time_separated_experience,frozen,none,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g99_after,g0_before,0.005857034120708704,0.020342854782938957,0.028392072767019272,0.008049217984080315,1e-06,2,0.008049217984080315,0.008049217984080315,1.862645149230957e-09,0.018455805256962776,0.017696099961176513,0.005627557635307312,0.005627557635307312,0.0,0.005627557635307312,0.005627557635307312,0.0,0,0,0,[],True,True,10
b3_time_separated_experience,e1_once,predictor,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g99_before,g0_before,0.00599520280957222,0.020342854782938957,0.028392072767019272,0.008049217984080315,1e-06,2,0.008049217984080315,0.008049217984080315,9.778887033462524e-09,0.018455805256962776,0.017702261079102756,0.005627557635307312,0.005140409804880619,-0.00048714783042669296,0.006372000090777874,0.005064169876277447,-0.0013078302145004272,1,2,2,[0.00736455712467432],True,True,10
b3_time_separated_experience,e2_once,predictor,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g99_after,g0_before,0.007434956729412079,0.020342854782938957,0.028392072767019272,0.008049217984080315,1e-06,2,0.008049217984080315,0.008049217984080315,3.725290298461914e-08,0.018455805256962776,0.017607586365193127,0.005627557635307312,0.004960337653756142,-0.0006672199815511703,0.006083953194320202,0.004584040027111769,-0.0014999131672084332,1,2,2,[0.009829564951360226],True,True,10
b3_time_separated_experience,e1_then_e2,predictor,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g74_after,g0_before,0.0060958294197916985,0.020342854782938957,0.02813611924648285,0.007793264463543892,1e-06,1,0.007793264463543892,0.007793264463543892,3.7462450563907623e-06,0.018455805256962776,0.01828090790659189,0.005627557635307312,0.004520482383668423,-0.0011070752516388893,0.005627557635307312,0.004520482383668423,-0.0011070752516388893,2,4,4,"[0.00736455712467432,0.009386569261550903]",True,True,10
b3_time_separated_experience,e1_then_e1,predictor,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g74_before,g0_before,0.005972490645945072,0.020342854782938957,0.029147740453481674,0.008804885670542717,1e-06,4,0.007793264463543892,0.008804885670542717,5.9138983488082886e-08,0.018455805256962776,0.01887054108083248,0.005627557635307312,0.0049314238131046295,-0.0006961338222026825,0.006372000090777874,0.004141363315284252,-0.002230636775493622,2,4,2,"[0.00736455712467432,0.009981519542634487]",True,True,10
b3_time_separated_experience,e2_then_e2,predictor,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g74_after,g0_before,0.007351632695645094,0.020342854782938957,0.02813611924648285,0.007793264463543892,1e-06,1,0.007793264463543892,0.007793264463543892,1.9426923245191574e-05,0.018455805256962776,0.01849105735309422,0.005627557635307312,0.004968676716089249,-0.0006588809192180634,0.006083953194320202,0.004247092176228762,-0.0018368610180914402,2,4,2,"[0.009829564951360226,0.007920895703136921]",True,True,10
b3_time_separated_experience,frozen,none,val_L|L|s0|m4,val_L,L,0,4,terminal,260927,10,g99_after,g24_before,0.0030782134272158146,0.005354368593543768,0.010635110549628735,0.005280741956084967,1e-06,2,0.005280741956084967,0.005280745681375265,9.313225746154785e-10,0.10581159451976418,0.019029464619234205,0.00467401510104537,0.00467401510104537,0.0,0.00467401510104537,0.00467401510104537,0.0,0,0,0,[],True,True,10
