analysis,variant,trainable,anchor_id,split,shape,sample_id,mpc_iter,objective_stage,rng_seed,pool_size,model_best_candidate_id,env_best_candidate_id,model_best_cost,env_best_cost,selected_env_cost,r_selected,numerical_tie_epsilon,model_tie_count_epsilon,r_selected_tie_min,r_selected_tie_max,model_best_margin,environment_pool_span,mean_abs_contrast_error,common_support_loss_before,common_support_loss_after,common_support_loss_delta,training_support_loss_before,training_support_loss_after,training_support_loss_delta,update_steps,processed_transitions,unique_factual_transitions,step_losses,fixed_encoder_unchanged,base_reset_exact,candidate_rollouts
b1_common_anchor,frozen,none,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,10,g99_after,g24_before,0.0038529124576598406,0.018234284594655037,0.018755394965410233,0.0005211103707551956,1e-06,2,0.0005211010575294495,0.0005211103707551956,1.3969838619232178e-09,0.06304959766566753,0.005805449956096709,0.005074666813015938,0.005074666813015938,0.0,0.005074666813015938,0.005074666813015938,0.0,0,0,0,[],True,True,10
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s0|m2,val_T,T,0,2,terminal,260920,10,g49_before,g24_before,0.007313759997487068,0.018234284594655037,0.019693050533533096,0.0014587659388780594,1e-06,1,0.0014587659388780594,0.0014587659388780594,1.6472768038511276e-05,0.06304959766566753,0.00811281562782824,0.005074666813015938,0.003075024113059044,-0.001999642699956894,0.005074666813015938,0.003075024113059044,-0.001999642699956894,2,3,2,"[0.0045998478308320045,0.006967861671000719]",True,True,10
b1_common_anchor,frozen,none,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g99_after,g24_before,0.0045935180969536304,0.014493242837488651,0.019398214295506477,0.004904971458017826,1e-06,2,0.004904971458017826,0.00490498635917902,3.259629011154175e-09,0.04188604187220335,0.009055853262543679,0.004657716490328312,0.004657716490328312,0.0,0.004657716490328312,0.004657716490328312,0.0,0,0,0,[],True,True,10
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g49_before,g24_before,0.0062940241768956184,0.014493242837488651,0.01822931505739689,0.0037360722199082375,1e-06,1,0.0037360722199082375,0.0037360722199082375,4.14019450545311e-05,0.04188604187220335,0.012031919462606311,0.004657716490328312,0.002873052144423127,-0.0017846643459051847,0.004657716490328312,0.002873052144423127,-0.0017846643459051847,4,10,4,"[0.008316420018672943,0.0077894385904073715,0.006021787412464619,0.006362427957355976]",True,True,10
b1_common_anchor,official_full_shadow,predictor+encoder,val_T|T|s0|m4,val_T,T,0,4,terminal,260921,10,g49_before,g24_before,0.005609979387372732,0.014493242837488651,0.01822931505739689,0.0037360722199082375,1e-06,1,0.0037360722199082375,0.0037360722199082375,2.100784331560135e-05,0.04188604187220335,0.011135376896709204,0.004657716490328312,0.002996409311890602,-0.0016613071784377098,0.004657716490328312,0.002996409311890602,-0.0016613071784377098,4,10,4,"[0.008316420018672943,0.00698456633836031,0.006227872334420681,0.006504968274384737]",False,True,10
b1_common_anchor,frozen,none,val_T|T|s1|m2,val_T,T,1,2,terminal,260922,10,g99_after,g49_after,0.0038068611174821854,0.0032696889247745275,0.005436629522591829,0.0021669405978173018,1e-06,2,0.002166936406865716,0.0021669405978173018,3.4924596548080444e-09,0.01611697510816157,0.0019350723363459111,0.0023461070377379656,0.0023461070377379656,0.0,0.0023461070377379656,0.0023461070377379656,0.0,0,0,0,[],True,True,10
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s1|m2,val_T,T,1,2,terminal,260922,10,g74_before,g49_after,0.004154674243181944,0.0032696889247745275,0.005489774513989687,0.0022200855892151594,1e-06,1,0.0022200855892151594,0.0022200855892151594,1.0543502867221832e-05,0.01611697510816157,0.0016312329098582268,0.0023461070377379656,0.0012660074280574918,-0.0010800996096804738,0.0023461070377379656,0.0012660074280574918,-0.0010800996096804738,2,3,2,"[0.0036441648844629526,0.0045406389981508255]",True,True,10
b1_common_anchor,frozen,none,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g99_after,g99_after,0.004173420835286379,0.005218733102083206,0.005218733102083206,0.0,1e-06,2,0.0,2.421438694000244e-08,1.862645149230957e-09,0.018625391647219658,0.0034795027691870927,0.002469290280714631,0.002469290280714631,0.0,0.002469290280714631,0.002469290280714631,0.0,0,0,0,[],True,True,10
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.010699820704758167,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,2.813618630170822e-05,0.018625391647219658,0.0010736411437392234,0.002469290280714631,0.0011284290812909603,-0.0013408611994236708,0.002469290280714631,0.0011284290812909603,-0.0013408611994236708,4,10,4,"[0.003456060541793704,0.004453927744179964,0.0031767766922712326,0.003754368284717202]",True,True,10
b1_common_anchor,official_full_shadow,predictor+encoder,val_T|T|s1|m4,val_T,T,1,4,terminal,260923,10,g74_before,g99_after,0.010282863862812519,0.005218733102083206,0.005563897080719471,0.0003451639786362648,1e-06,1,0.0003451639786362648,0.0003451639786362648,2.461206167936325e-05,0.018625391647219658,0.001531140599399805,0.002469290280714631,0.001297427574172616,-0.001171862706542015,0.002469290280714631,0.001297427574172616,-0.001171862706542015,4,10,4,"[0.003456060541793704,0.005120386369526386,0.0032081350218504667,0.0038215790409594774]",False,True,10
b1_common_anchor,frozen,none,val_T|T|s2|m2,val_T,T,2,2,terminal,260924,10,g99_after,g74_before,0.006220013834536076,0.013976049609482288,0.015659168362617493,0.0016831187531352043,1e-06,2,0.0016831187531352043,0.0016831280663609505,9.313225746154785e-10,0.012004143558442593,0.007975053554400802,0.006372000090777874,0.006372000090777874,0.0,0.006372000090777874,0.006372000090777874,0.0,0,0,0,[],True,True,10
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s2|m2,val_T,T,2,2,terminal,260924,10,g49_after,g74_before,0.006551526486873627,0.013976049609482288,0.01582283526659012,0.00184678565710783,1e-06,1,0.00184678565710783,0.00184678565710783,6.189057603478432e-05,0.012004143558442593,0.0069778659380972385,0.006372000090777874,0.0044508022256195545,-0.0019211978651583195,0.006372000090777874,0.0044508022256195545,-0.0019211978651583195,2,3,2,"[0.009882773272693157,0.011487402953207493]",True,True,10
b1_common_anchor,frozen,none,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g99_after,g0_before,0.005857034120708704,0.020342854782938957,0.028392072767019272,0.008049217984080315,1e-06,2,0.008049217984080315,0.008049217984080315,1.862645149230957e-09,0.018455805256962776,0.017696099961176513,0.005627557635307312,0.005627557635307312,0.0,0.005627557635307312,0.005627557635307312,0.0,0,0,0,[],True,True,10
b1_common_anchor,predictor_official_shadow,predictor,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g74_after,g0_before,0.0069410004653036594,0.020342854782938957,0.02813611924648285,0.007793264463543892,1e-06,1,0.007793264463543892,0.007793264463543892,2.7802307158708572e-05,0.018455805256962776,0.018729294557124375,0.005627557635307312,0.0036550797522068024,-0.0019724778831005096,0.005627557635307312,0.0036550797522068024,-0.0019724778831005096,4,10,4,"[0.008349325507879257,0.011304874904453754,0.007042837794870138,0.00828520767390728]",True,True,10
b1_common_anchor,official_full_shadow,predictor+encoder,val_T|T|s2|m4,val_T,T,2,4,terminal,260925,10,g74_after,g0_before,0.008907784707844257,0.020342854782938957,0.02813611924648285,0.007793264463543892,1e-06,1,0.007793264463543892,0.007793264463543892,4.168972373008728e-05,0.018455805256962776,0.018006153125315904,0.005627557635307312,0.0037978487089276314,-0.0018297089263796806,0.005627557635307312,0.0037978487089276314,-0.0018297089263796806,4,10,4,"[0.008349325507879257,0.011370975524187088,0.006573257967829704,0.007869581691920757]",False,True,10
