analysis,comparison,anchor_id,split,shape,sample_id,mpc_iter,before_variant,after_variant,before_model_best_candidate_id,after_model_best_candidate_id,selection_changed,r_selected_before,r_selected_after,delta_r_selected,r_selected_tie_min_before,r_selected_tie_min_after,delta_r_selected_tie_min,selected_env_cost_before,selected_env_cost_after,delta_selected_env_cost,mean_abs_contrast_error_before,mean_abs_contrast_error_after,delta_mean_abs_contrast_error,common_support_loss_before,common_support_loss_after,common_support_loss_delta,before_variant_common_support_loss_delta,after_variant_common_support_loss_delta,delta_common_support_loss_delta,update_steps,processed_transitions,unique_factual_transitions,before_variant_processed_transitions,after_variant_processed_transitions,before_variant_unique_factual_transitions,after_variant_unique_factual_transitions
b3_time_separated_experience,e1_then_e2_minus_e1_then_e1,val_T|T|s0|m4,val_T,T,0,4,e1_then_e1,e1_then_e2,g24_before,g24_before,False,0.0,0.0,0.0,0.0,0.0,0.0,0.014493242837488651,0.014493242837488651,0.0,0.007231794018298388,0.008454762073233724,0.0012229680549353363,0.004657716490328312,0.003918771632015705,-0.0007389448583126068,-0.0006463341414928436,-0.0007389448583126068,-9.261071681976318e-05,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e2_then_e2,val_T|T|s0|m4,val_T,T,0,4,e2_then_e2,e1_then_e2,g24_before,g24_before,False,0.0,0.0,0.0,0.0,0.0,0.0,0.014493242837488651,0.014493242837488651,0.0,0.0049090076237916945,0.008454762073233724,0.0035457544494420295,0.004657716490328312,0.003918771632015705,-0.0007389448583126068,-0.00014823675155639648,-0.0007389448583126068,-0.0005907081067562103,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e1_then_e1,val_T|T|s1|m4,val_T,T,1,4,e1_then_e1,e1_then_e2,g74_before,g74_before,False,0.0003451639786362648,0.0003451639786362648,0.0,0.0003451639786362648,0.0003451639786362648,0.0,0.005563897080719471,0.005563897080719471,0.0,0.0022659126669168474,0.0018300792668014764,-0.000435833400115371,0.002469290280714631,0.0016274634981527925,-0.0008418267825618386,-0.0008876189822331071,-0.0008418267825618386,4.579219967126846e-05,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e2_then_e2,val_T|T|s1|m4,val_T,T,1,4,e2_then_e2,e1_then_e2,g74_before,g74_before,False,0.0003451639786362648,0.0003451639786362648,0.0,0.0003451639786362648,0.0003451639786362648,0.0,0.005563897080719471,0.005563897080719471,0.0,0.0023884495254606008,0.0018300792668014764,-0.0005583702586591244,0.002469290280714631,0.0016274634981527925,-0.0008418267825618386,-0.0008404703112319112,-0.0008418267825618386,-1.3564713299274445e-06,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e1_then_e1,val_T|T|s2|m4,val_T,T,2,4,e1_then_e1,e1_then_e2,g74_before,g74_after,True,0.008804885670542717,0.007793264463543892,-0.001011621206998825,0.007793264463543892,0.007793264463543892,0.0,0.029147740453481674,0.02813611924648285,-0.001011621206998825,0.01887054108083248,0.01828090790659189,-0.0005896331742405898,0.005627557635307312,0.004520482383668423,-0.0011070752516388893,-0.0006961338222026825,-0.0011070752516388893,-0.0004109414294362068,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e2_then_e2,val_T|T|s2|m4,val_T,T,2,4,e2_then_e2,e1_then_e2,g74_after,g74_after,False,0.007793264463543892,0.007793264463543892,0.0,0.007793264463543892,0.007793264463543892,0.0,0.02813611924648285,0.02813611924648285,0.0,0.01849105735309422,0.01828090790659189,-0.00021014944650232792,0.005627557635307312,0.004520482383668423,-0.0011070752516388893,-0.0006588809192180634,-0.0011070752516388893,-0.00044819433242082596,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e1_then_e1,val_L|L|s0|m4,val_L,L,0,4,e1_then_e1,e1_then_e2,g74_before,g24_before,True,0.00611875532194972,0.0,-0.00611875532194972,0.00611875532194972,0.0,-0.00611875532194972,0.011473123915493488,0.005354368593543768,-0.00611875532194972,0.01582760731689632,0.014276862191036344,-0.0015507451258599744,0.00467401510104537,0.0035569281317293644,-0.0011170869693160057,-0.00044575007632374763,-0.0011170869693160057,-0.0006713368929922581,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e2_then_e2,val_L|L|s0|m4,val_L,L,0,4,e2_then_e2,e1_then_e2,g74_before,g24_before,True,0.00611875532194972,0.0,-0.00611875532194972,0.00611875532194972,0.0,-0.00611875532194972,0.011473123915493488,0.005354368593543768,-0.00611875532194972,0.011805765563622117,0.014276862191036344,0.0024710966274142272,0.00467401510104537,0.0035569281317293644,-0.0011170869693160057,-0.0008977255783975124,-0.0011170869693160057,-0.00021936139091849327,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e1_then_e1,val_L|L|s1|m4,val_L,L,1,4,e1_then_e1,e1_then_e2,g99_before,g99_after,True,0.012078317813575268,0.012078325264155865,7.450580596923828e-09,0.012078317813575268,0.012078317813575268,0.0,0.016956105828285217,0.016956113278865814,7.450580596923828e-09,0.008178157685324549,0.011206367937847971,0.0030282102525234222,0.007137453183531761,0.005275364965200424,-0.001862088218331337,-0.0017964979633688927,-0.001862088218331337,-6.55902549624443e-05,2,4,4,4,4,2,4
b3_time_separated_experience,e1_then_e2_minus_e2_then_e2,val_L|L|s1|m4,val_L,L,1,4,e2_then_e2,e1_then_e2,g99_after,g99_after,False,0.012078325264155865,0.012078325264155865,0.0,0.012078317813575268,0.012078317813575268,0.0,0.016956113278865814,0.016956113278865814,0.0,0.010944695724174381,0.011206367937847971,0.0002616722136735902,0.007137453183531761,0.005275364965200424,-0.001862088218331337,-0.0015072999522089958,-0.001862088218331337,-0.00035478826612234116,2,4,4,4,4,2,4
