analysis,comparison,anchor_id,split,shape,sample_id,mpc_iter,before_variant,after_variant,before_model_best_candidate_id,after_model_best_candidate_id,selection_changed,r_selected_before,r_selected_after,delta_r_selected,r_selected_tie_min_before,r_selected_tie_min_after,delta_r_selected_tie_min,selected_env_cost_before,selected_env_cost_after,delta_selected_env_cost,mean_abs_contrast_error_before,mean_abs_contrast_error_after,delta_mean_abs_contrast_error,common_support_loss_before,common_support_loss_after,common_support_loss_delta,before_variant_common_support_loss_delta,after_variant_common_support_loss_delta,delta_common_support_loss_delta,update_steps,processed_transitions,unique_factual_transitions,before_variant_processed_transitions,after_variant_processed_transitions,before_variant_unique_factual_transitions,after_variant_unique_factual_transitions
b1_common_anchor,predictor_official_shadow_minus_frozen,val_T|T|s0|m2,val_T,T,0,2,frozen,predictor_official_shadow,g99_after,g49_before,True,0.0005211103707551956,0.0014587659388780594,0.0009376555681228638,0.0005211010575294495,0.0014587659388780594,0.0009376648813486099,0.018755394965410233,0.019693050533533096,0.0009376555681228638,0.005805449956096709,0.00811281562782824,0.002307365671731531,0.005074666813015938,0.003075024113059044,-0.001999642699956894,0.0,-0.001999642699956894,-0.001999642699956894,2,3,2,0,3,0,2
b1_common_anchor,predictor_official_shadow_minus_frozen,val_T|T|s0|m4,val_T,T,0,4,frozen,predictor_official_shadow,g99_after,g49_before,True,0.004904971458017826,0.0037360722199082375,-0.0011688992381095886,0.004904971458017826,0.0037360722199082375,-0.0011688992381095886,0.019398214295506477,0.01822931505739689,-0.0011688992381095886,0.009055853262543679,0.012031919462606311,0.0029760662000626326,0.004657716490328312,0.002873052144423127,-0.0017846643459051847,0.0,-0.0017846643459051847,-0.0017846643459051847,4,10,4,0,10,0,4
b1_common_anchor,predictor_official_shadow_minus_frozen,val_T|T|s1|m2,val_T,T,1,2,frozen,predictor_official_shadow,g99_after,g74_before,True,0.0021669405978173018,0.0022200855892151594,5.3144991397857666e-05,0.002166936406865716,0.0022200855892151594,5.3149182349443436e-05,0.005436629522591829,0.005489774513989687,5.3144991397857666e-05,0.0019350723363459111,0.0016312329098582268,-0.00030383942648768434,0.0023461070377379656,0.0012660074280574918,-0.0010800996096804738,0.0,-0.0010800996096804738,-0.0010800996096804738,2,3,2,0,3,0,2
b1_common_anchor,predictor_official_shadow_minus_frozen,val_T|T|s1|m4,val_T,T,1,4,frozen,predictor_official_shadow,g99_after,g74_before,True,0.0,0.0003451639786362648,0.0003451639786362648,0.0,0.0003451639786362648,0.0003451639786362648,0.005218733102083206,0.005563897080719471,0.0003451639786362648,0.0034795027691870927,0.0010736411437392234,-0.0024058616254478693,0.002469290280714631,0.0011284290812909603,-0.0013408611994236708,0.0,-0.0013408611994236708,-0.0013408611994236708,4,10,4,0,10,0,4
b1_common_anchor,predictor_official_shadow_minus_frozen,val_T|T|s2|m2,val_T,T,2,2,frozen,predictor_official_shadow,g99_after,g49_after,True,0.0016831187531352043,0.00184678565710783,0.00016366690397262573,0.0016831187531352043,0.00184678565710783,0.00016366690397262573,0.015659168362617493,0.01582283526659012,0.00016366690397262573,0.007975053554400802,0.0069778659380972385,-0.0009971876163035638,0.006372000090777874,0.0044508022256195545,-0.0019211978651583195,0.0,-0.0019211978651583195,-0.0019211978651583195,2,3,2,0,3,0,2
b1_common_anchor,predictor_official_shadow_minus_frozen,val_T|T|s2|m4,val_T,T,2,4,frozen,predictor_official_shadow,g99_after,g74_after,True,0.008049217984080315,0.007793264463543892,-0.00025595352053642273,0.008049217984080315,0.007793264463543892,-0.00025595352053642273,0.028392072767019272,0.02813611924648285,-0.00025595352053642273,0.017696099961176513,0.018729294557124375,0.0010331945959478617,0.005627557635307312,0.0036550797522068024,-0.0019724778831005096,0.0,-0.0019724778831005096,-0.0019724778831005096,4,10,4,0,10,0,4
b1_common_anchor,predictor_official_shadow_minus_frozen,val_L|L|s0|m2,val_L,L,0,2,frozen,predictor_official_shadow,g99_after,g99_before,True,0.0,9.313225746154785e-10,9.313225746154785e-10,0.0,0.0,0.0,0.009054004214704037,0.009054005146026611,9.313225746154785e-10,0.0115204899571836,0.00969871119596064,-0.0018217787612229593,0.004546905867755413,0.00303855212405324,-0.0015083537437021732,0.0,-0.0015083537437021732,-0.0015083537437021732,2,3,2,0,3,0,2
b1_common_anchor,predictor_official_shadow_minus_frozen,val_L|L|s0|m4,val_L,L,0,4,frozen,predictor_official_shadow,g99_after,g74_before,True,0.005280741956084967,0.00611875532194972,0.0008380133658647537,0.005280741956084967,0.00611875532194972,0.0008380133658647537,0.010635110549628735,0.011473123915493488,0.0008380133658647537,0.019029464619234205,0.015953906532377004,-0.003075558086857201,0.00467401510104537,0.0029426277615129948,-0.0017313873395323753,0.0,-0.0017313873395323753,-0.0017313873395323753,4,10,4,0,10,0,4
b1_common_anchor,predictor_official_shadow_minus_frozen,val_L|L|s1|m2,val_L,L,1,2,frozen,predictor_official_shadow,g99_after,g99_after,False,0.008038859814405441,0.008038859814405441,0.0,0.008038841187953949,0.008038841187953949,0.0,0.0164361409842968,0.0164361409842968,0.0,0.013009228277951479,0.010180838312953711,-0.002828389964997768,0.006666550412774086,0.004151612985879183,-0.002514937426894903,0.0,-0.002514937426894903,-0.002514937426894903,2,3,2,0,3,0,2
b1_common_anchor,predictor_official_shadow_minus_frozen,val_L|L|s1|m4,val_L,L,1,4,frozen,predictor_official_shadow,g99_after,g99_before,True,0.012078325264155865,0.012078317813575268,-7.450580596923828e-09,0.012078317813575268,0.012078317813575268,0.0,0.016956113278865814,0.016956105828285217,-7.450580596923828e-09,0.009000037424266338,0.01032578614540398,0.0013257487211376425,0.007137453183531761,0.004114799667149782,-0.003022653516381979,0.0,-0.003022653516381979,-0.003022653516381979,4,10,4,0,10,0,4
b1_common_anchor,predictor_official_shadow_minus_frozen,val_L|L|s2|m2,val_L,L,2,2,frozen,predictor_official_shadow,g99_after,g49_after,True,9.313225746154785e-10,0.0009399591945111752,0.0009399582631886005,0.0,0.0009399591945111752,0.0009399591945111752,0.007448143791407347,0.008388102054595947,0.0009399582631886005,0.011281219078227878,0.012580396747216583,0.001299177668988705,0.0046519748866558075,0.0027473142836242914,-0.001904660603031516,0.0,-0.001904660603031516,-0.001904660603031516,2,3,2,0,3,0,2
b1_common_anchor,predictor_official_shadow_minus_frozen,val_L|L|s2|m4,val_L,L,2,4,frozen,predictor_official_shadow,g99_after,g99_before,True,0.0027571730315685272,0.0027571693062782288,-3.725290298461914e-09,0.0027571693062782288,0.0027571693062782288,0.0,0.03305094316601753,0.033050939440727234,-3.725290298461914e-09,0.015438094502314925,0.011967194825410843,-0.0034708996769040826,0.0054113594815135,0.002274730708450079,-0.0031366287730634212,0.0,-0.0031366287730634212,-0.0031366287730634212,4,10,4,0,10,0,4
b1_common_anchor,official_full_shadow_minus_frozen,val_T|T|s0|m4,val_T,T,0,4,frozen,official_full_shadow,g99_after,g49_before,True,0.004904971458017826,0.0037360722199082375,-0.0011688992381095886,0.004904971458017826,0.0037360722199082375,-0.0011688992381095886,0.019398214295506477,0.01822931505739689,-0.0011688992381095886,0.009055853262543679,0.011135376896709204,0.0020795236341655254,0.004657716490328312,0.002996409311890602,-0.0016613071784377098,0.0,-0.0016613071784377098,-0.0016613071784377098,4,10,4,0,10,0,4
