anchor_id,anchor_ordinal,split,shape,sample_id,mpc_iter,label,candidate_id,recorded_pool_env_cost,physical_branch_id,first_chunk_deduplicated
val_L|L|s0|m4,0,val_L,L,0,4,frozen,g99_after,0.010635110549628735,val_L_L_s0_m4_b0,False
val_L|L|s0|m4,0,val_L,L,0,4,adapted,g74_before,0.011473123915493488,val_L_L_s0_m4_b1,False
val_L|L|s0|m4,0,val_L,L,0,4,oracle,g24_before,0.005354368593543768,val_L_L_s0_m4_b2,False
val_L|L|s1|m4,1,val_L,L,1,4,frozen,g99_after,0.016956113278865814,val_L_L_s1_m4_b0,False
val_L|L|s1|m4,1,val_L,L,1,4,adapted,g99_before,0.016956105828285217,val_L_L_s1_m4_b1,False
val_L|L|s1|m4,1,val_L,L,1,4,oracle,g24_after,0.0048777880147099495,val_L_L_s1_m4_b2,False
val_L|L|s2|m4,2,val_L,L,2,4,frozen,g99_after,0.03305094316601753,val_L_L_s2_m4_b0,False
val_L|L|s2|m4,2,val_L,L,2,4,adapted,g99_before,0.033050939440727234,val_L_L_s2_m4_b1,False
val_L|L|s2|m4,2,val_L,L,2,4,oracle,g24_after,0.030293770134449005,val_L_L_s2_m4_b2,False
val_T|T|s0|m4,3,val_T,T,0,4,frozen,g99_after,0.019398214295506477,val_T_T_s0_m4_b0,False
val_T|T|s0|m4,3,val_T,T,0,4,adapted,g49_before,0.01822931505739689,val_T_T_s0_m4_b1,False
val_T|T|s0|m4,3,val_T,T,0,4,oracle,g24_before,0.014493242837488651,val_T_T_s0_m4_b2,False
val_T|T|s1|m4,4,val_T,T,1,4,frozen,g99_after,0.005218733102083206,val_T_T_s1_m4_b0,True
val_T|T|s1|m4,4,val_T,T,1,4,adapted,g74_before,0.005563897080719471,val_T_T_s1_m4_b1,False
val_T|T|s1|m4,4,val_T,T,1,4,oracle,g99_after,0.005218733102083206,val_T_T_s1_m4_b0,True
val_T|T|s2|m4,5,val_T,T,2,4,frozen,g99_after,0.028392072767019272,val_T_T_s2_m4_b0,False
val_T|T|s2|m4,5,val_T,T,2,4,adapted,g74_after,0.02813611924648285,val_T_T_s2_m4_b1,False
val_T|T|s2|m4,5,val_T,T,2,4,oracle,g0_before,0.020342854782938957,val_T_T_s2_m4_b2,False
