phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,encoder_version,model_version,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,mpc_iter,objective_stage,gd_iter,endpoint_candidate_id,c_model_initial,c_env_initial,c_model_endpoint,c_env_endpoint,g_model,g_env,omega,best_so_far_model_candidate_id,best_so_far_env_candidate_id,best_so_far_r_selected
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s0_history_mpc0,dev_valL_frozen_n3,0,1,L,0,terminal,0,g0_after,3.446436882019043,3.58843994140625,3.2070560455322266,3.3720173835754395,0.2393808364868164,0.21642255783081055,0.02295827865600586,g0_after,g0_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s0_history_mpc0,dev_valL_frozen_n3,0,1,L,0,terminal,24,g24_after,3.446436882019043,3.58843994140625,0.165042445063591,0.15074479579925537,3.281394436955452,3.4376951456069946,-0.15630070865154266,g24_after,g24_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s0_history_mpc0,dev_valL_frozen_n3,0,1,L,0,terminal,49,g49_after,3.446436882019043,3.58843994140625,0.0163361057639122,0.01868516206741333,3.4301007762551308,3.5697547793388367,-0.1396540030837059,g49_after,g49_before,0.003438718616962433
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s0_history_mpc0,dev_valL_frozen_n3,0,1,L,0,terminal,74,g74_after,3.446436882019043,3.58843994140625,0.0051220618188381195,0.04568652808666229,3.441314820200205,3.5427534133195877,-0.10143859311938286,g74_before,g49_before,0.030502330511808395
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s0_history_mpc0,dev_valL_frozen_n3,0,1,L,0,terminal,99,g99_after,3.446436882019043,3.58843994140625,0.0048460643738508224,0.04709336534142494,3.441590817645192,3.541346576064825,-0.09975575841963291,g99_after,g49_before,0.031846921890974045
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0,0,0,0,s0_history_mpc1,dev_valL_frozen_n3,0,1,L,1,terminal,0,g0_after,0.02030145190656185,0.042169515043497086,0.04798107221722603,0.16857735812664032,-0.027679620310664177,-0.12640784308314323,0.09872822277247906,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0,0,0,0,s0_history_mpc1,dev_valL_frozen_n3,0,1,L,1,terminal,24,g24_after,0.02030145190656185,0.042169515043497086,0.005017222370952368,0.03504229336977005,0.015284229535609484,0.0071272216737270355,0.008157007861882448,g24_before,g24_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0,0,0,0,s0_history_mpc1,dev_valL_frozen_n3,0,1,L,1,terminal,49,g49_after,0.02030145190656185,0.042169515043497086,0.0033133679535239935,0.020690271630883217,0.016988083953037858,0.02147924341261387,-0.004491159459576011,g49_before,g49_after,0.0031732842326164246
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0,0,0,0,s0_history_mpc1,dev_valL_frozen_n3,0,1,L,1,terminal,74,g74_after,0.02030145190656185,0.042169515043497086,0.003253514412790537,0.024157317355275154,0.017047937493771315,0.01801219768822193,-0.0009642601944506168,g74_after,g49_after,0.0034670457243919373
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",FROZEN,0,0,0,0,s0_history_mpc1,dev_valL_frozen_n3,0,1,L,1,terminal,99,g99_after,0.02030145190656185,0.042169515043497086,0.0032474356703460217,0.024757234379649162,0.01705401623621583,0.017412280663847923,-0.00035826442763209343,g99_after,g49_after,0.0040669627487659454
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,0,g0_after,0.021274248138070107,0.026301439851522446,0.04771339148283005,0.14225240051746368,-0.02643914334475994,-0.11595096066594124,0.0895118173211813,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,24,g24_after,0.021274248138070107,0.026301439851522446,0.004446967504918575,0.025025703012943268,0.01682728063315153,0.0012757368385791779,0.015551543794572353,g24_before,g24_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,49,g49_after,0.021274248138070107,0.026301439851522446,0.00324835954234004,0.00985931046307087,0.018025888595730066,0.016442129388451576,0.00158375920727849,g49_after,g24_before,0.00015054643154144287
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,74,g74_after,0.021274248138070107,0.026301439851522446,0.003190364222973585,0.010125887580215931,0.01808388391509652,0.016175552271306515,0.0019083316437900066,g74_before,g74_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,99,g99_after,0.021274248138070107,0.026301439851522446,0.003187054069712758,0.009054004214704037,0.01808719406835735,0.01724743563681841,0.0008397584315389395,g99_after,g99_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",FROZEN,0,0,0,0,s0_history_mpc3,dev_valL_frozen_n3,0,1,L,3,terminal,0,g0_after,0.021216241642832756,0.019608676433563232,0.06241093575954437,0.15208952128887177,-0.041194694116711617,-0.13248084485530853,0.09128615073859692,g0_before,g0_before,0.0
