phase,split,shape,arm,objective_stage,independent_unit,n_cases,n_replans,numerical_tie_epsilon,mean_case_r_selected,median_case_r_selected,bootstrap95_low_case_r_selected,bootstrap95_high_case_r_selected,mean_case_r_final_record,median_case_r_final_record,bootstrap95_low_case_r_final_record,bootstrap95_high_case_r_final_record,mean_case_eta_model_final_record,median_case_eta_model_final_record,bootstrap95_low_case_eta_model_final_record,bootstrap95_high_case_eta_model_final_record,mean_case_error_oscillation,median_case_error_oscillation,bootstrap95_low_case_error_oscillation,bootstrap95_high_case_error_oscillation,mean_case_g_model_final,median_case_g_model_final,bootstrap95_low_case_g_model_final,bootstrap95_high_case_g_model_final,mean_case_g_env_final,median_case_g_env_final,bootstrap95_low_case_g_env_final,bootstrap95_high_case_g_env_final,mean_case_omega_final,median_case_omega_final,bootstrap95_low_case_omega_final,bootstrap95_high_case_omega_final
development,val_L,L,FROZEN,full_horizon,matched_initial_goal_case,3,17,1e-06,0.006783187871850613,0.0006034976026664178,6.788078462705016e-05,0.01967818522825837,0.006783188078811186,0.0006034982235481342,6.788078462705016e-05,0.01967818522825837,5.174014303419325e-12,0.0,0.0,1.5522042910257975e-11,0.01587427127071553,0.002017091610468924,0.0014476425402487317,0.04415807966142893,0.004123455943125818,0.00270362402467678,0.0021761941025033593,0.007490549702197313,-0.0024021889070152407,0.002067792198310296,-0.012437599711120129,0.0031632407917641103,0.006525644850141059,0.0006358318263664841,-0.000987046689260751,0.019928149413317442
development,val_L,L,FROZEN,terminal,matched_initial_goal_case,3,15,1e-06,0.00833630912626783,0.008822122868150473,0.003882552869617939,0.012304251641035081,0.008336309219400087,0.008822123147547245,0.003882552869617939,0.012304251641035081,0.0,0.0,0.0,0.0,0.0955151450044165,0.10708136330358684,0.04990498097613453,0.12955909073352814,0.5226942704835286,0.634787502977997,0.23006018660962582,0.703235121862963,0.5480386775918306,0.7016312520951032,0.22311529042199255,0.7193694902583958,-0.02534440710830192,-0.01613436839543283,-0.0668437491171062,0.006944896187633276
development,val_L,L,OFFICIAL_ADAJEPA,full_horizon,matched_initial_goal_case,3,6,1e-06,0.0017843955477777247,0.0002830340090440586,0.00014476844808086753,0.004925384186208248,0.0017843955477777247,0.0002830340090440586,0.00014476844808086753,0.004925384186208248,0.0,0.0,0.0,0.0,0.01148532802956955,0.006700191428535618,0.0032636774121783674,0.02449211524799466,0.004725028130148227,0.003757853788556531,0.0027035276289097965,0.0077137029729783535,0.0038633519919433943,0.0034072070848196745,0.002556798979640007,0.005626049911370501,0.0008616761382048329,-0.000703679455909878,-0.0018681961228139699,0.0051569039933383465
development,val_L,L,OFFICIAL_ADAJEPA,terminal,matched_initial_goal_case,3,15,1e-06,0.009773142092550794,0.009840833209455013,0.009007487213239074,0.010471105854958298,0.009773142092550794,0.009840833209455013,0.009007487213239074,0.010471105854958298,0.0,0.0,0.0,0.0,0.20641575674526394,0.17150537092238666,0.08271535797975957,0.36502654133364565,0.5232440310840806,0.6335595568642021,0.23253539279103283,0.7036371435970068,0.5454451951819161,0.7017040503211319,0.2149536358192563,0.7196778994053602,-0.02220116409783562,-0.016040755808353423,-0.06814449345692992,0.017581756971776486
development,val_L,L,PREDICTOR_ONLY,full_horizon,matched_initial_goal_case,3,5,1e-06,0.0005039978293805487,0.0002555227450405558,0.0002168279024772346,0.0010396428406238556,0.0005039978293805487,0.0002555227450405558,0.0002168279024772346,0.0010396428406238556,0.0,0.0,0.0,0.0,0.02368617750471458,0.005176570033654571,0.003160545660648495,0.06272141681984067,0.004841598856728524,0.003657374531030655,0.0029161498532630503,0.007951272185891867,0.00516910931845713,0.005277285158323745,0.0033843506244011223,0.0068456921726465225,-0.00032751046172860597,-0.000468200771138072,-0.00161991062729309,0.0011055800132453442
development,val_L,L,PREDICTOR_ONLY,terminal,matched_initial_goal_case,3,15,1e-06,0.0075778124388307345,0.008550039399415255,0.0036075653973966838,0.01057583251968026,0.007577812128389875,0.008550040144473314,0.0036075637210160488,0.01057583251968026,3.104408582051595e-11,0.0,0.0,9.313225746154787e-11,0.24293449350322285,0.3073632536455989,0.06340542128309608,0.3580348055809736,0.522958835105722,0.6329969140700996,0.23195184264332055,0.7039277486037463,0.5470597644336522,0.702321323286742,0.21882402710616589,0.7200339429080488,-0.024100929327930013,-0.016106194304302334,-0.06932440921664237,0.013127815537154674
development,val_T,T,FROZEN,full_horizon,matched_initial_goal_case,3,17,1e-06,0.000139791632278098,9.077764116227627e-05,0.0,0.0003285972556720177,0.00013979181854261293,9.077764116227627e-05,0.0,0.00032859781446556246,2.328306436538696e-11,0.0,0.0,6.984919309616089e-11,0.003004615796574702,0.0034874664852395654,0.001082111441064626,0.004444269463419914,0.0014024805303456053,0.0010306669942413767,0.0009875551331788301,0.0021892194636166096,0.0019868524046614765,0.0012890074402093887,0.0010402578627690673,0.003631291911005974,-0.0005843718743158711,-0.000258340445968012,-0.0014420724473893642,-5.270272959023714e-05
development,val_T,T,FROZEN,terminal,matched_initial_goal_case,3,15,1e-06,0.0017689702877153955,0.0018686773255467415,0.0011585913132876157,0.002279642224311829,0.0017689699772745371,0.0018686773255467415,0.0011585913132876157,0.002279641292989254,0.0,0.0,0.0,0.0,0.04336667652241886,0.04085149895399809,0.02736709318123758,0.0618814374320209,0.25419815685600045,0.14446623106487094,0.027880814997479315,0.590247424505651,0.26915728628324964,0.16135558523237706,0.020381669281050563,0.6257346043363213,-0.014959129427249232,-0.016889354167506098,-0.03548717983067036,0.007499145716428757
development,val_T,T,OFFICIAL_ADAJEPA,full_horizon,matched_initial_goal_case,3,9,1e-06,7.488205382186505e-05,7.928709965199232e-05,2.12388695217669e-05,0.00012412019229183593,7.488229958754448e-05,7.928709965199232e-05,2.12388695217669e-05,0.0001241209295888742,0.0,0.0,0.0,0.0,0.0028836484998464584,0.0018613044521771371,0.0017165120225399733,0.005073129024822265,0.001626264420337975,0.0018297280184924603,0.0011616639094427228,0.001887401333078742,0.0020904973433870408,0.001805214366565148,0.0010635810904204845,0.00340269657317549,-0.0004642329230490658,8.218696651359399e-05,-0.0015729685546830297,9.808281902223825e-05
development,val_T,T,OFFICIAL_ADAJEPA,terminal,matched_initial_goal_case,3,15,1e-06,0.0037598698788012066,0.0034053964773193,0.0025537170469760893,0.005320496112108231,0.003759869940889378,0.0034053964773193,0.0025537170469760893,0.005320496298372747,1.241763432820638e-10,0.0,0.0,3.725290298461915e-10,0.047905153113727776,0.04152069259434939,0.03213295699097216,0.07006180975586176,0.25644655362702906,0.145328080188483,0.03154185167513788,0.5924697290174663,0.26820953033554057,0.15922741293907167,0.02157291495241225,0.6238282631151378,-0.011762976708511513,-0.013899332750588656,-0.03135853409767151,0.00996893672272563
development,val_T,T,PREDICTOR_ONLY,full_horizon,matched_initial_goal_case,2,7,1e-06,0.0001640023935275773,0.0001640023935275773,4.375842399895191e-05,0.0002842463630562027,0.0001640023935275773,0.0001640023935275773,4.375842399895191e-05,0.0002842463630562027,0.0,0.0,0.0,0.0,0.0032047712253794698,0.0032047712253794698,0.0029671355635703853,0.003442406887188554,0.0020358314795885235,0.0020358314795885235,0.0016417583101429045,0.0024299046490341425,0.0026570120244286954,0.0026570120244286954,0.0018749864539131522,0.0034390375949442387,-0.0006211805448401719,-0.0006211805448401719,-0.0010091329459100962,-0.0002332281437702477
development,val_T,T,PREDICTOR_ONLY,terminal,matched_initial_goal_case,3,12,1e-06,0.0024602257879450915,0.0028686512261629103,0.0014583150623366237,0.0030537110753357404,0.0024602257879450915,0.0028686512261629103,0.0014583150623366237,0.0030537110753357404,0.0,0.0,0.0,0.0,0.043019185222995776,0.045033312402665615,0.02400330558884889,0.06002093767747283,0.2650687008630484,0.14472218351438643,0.05806151102297008,0.5924224080517888,0.27352728871628645,0.1588174644857645,0.036367307882755995,0.6253970937803388,-0.008458587853237987,-0.014095280971378087,-0.03297468572854996,0.021694203140214086
