anchor_id,split,shape,sample_id,mpc_iter,variant,exact_argmin_candidate_ids,epsilon_tie_candidate_ids,epsilon_tie_count,selected_candidate_id,selected_environment_cost,environment_pool_best,r_selected,r_selected_tie_min,r_selected_tie_max,model_best_margin,common_support_loss_before,common_support_loss_after,common_support_loss_delta,action_l2,first_chunk_l2,full_action_delta_from_frozen_l2,full_action_delta_from_frozen_max_abs,first_chunk_delta_from_frozen_l2,first_chunk_delta_from_frozen_max_abs,full_action_exactly_frozen,first_chunk_exactly_frozen
val_L|L|s0|m2,val_L,L,0,2,frozen,g99_after,g99_before;g99_after,2,g99_after,0.009054004214704037,0.009054004214704037,0.0,0.0,9.313225746154785e-10,1.1641532182693481e-09,0.004546905867755413,0.004546905867755413,0.0,6.062502384185791,2.766889810562134,0.0,0.0,0.0,0.0,True,True
val_L|L|s0|m2,val_L,L,0,2,predictor_official_shadow,g99_before,g99_before;g99_after,2,g99_before,0.009054005146026611,0.009054004214704037,9.313225746154785e-10,0.0,9.313225746154785e-10,2.8870999813079834e-08,0.004546905867755413,0.00303855212405324,-0.0015083537437021732,6.062503337860107,2.766890048980713,1.7597659507373464e-06,5.960464477539062e-07,5.473008286571712e-07,2.384185791015625e-07,False,False
val_L|L|s0|m4,val_L,L,0,4,frozen,g99_after,g99_before;g99_after,2,g99_after,0.010635110549628735,0.005354368593543768,0.005280741956084967,0.005280741956084967,0.005280745681375265,9.313225746154785e-10,0.00467401510104537,0.00467401510104537,0.0,5.015748023986816,3.847970962524414,0.0,0.0,0.0,0.0,True,True
val_L|L|s0|m4,val_L,L,0,4,predictor_official_shadow,g74_before,g74_before,1,g74_before,0.011473123915493488,0.005354368593543768,0.00611875532194972,0.00611875532194972,0.00611875532194972,1.8392223864793777e-05,0.00467401510104537,0.0029426277615129948,-0.0017313873395323753,5.023612976074219,3.8564558029174805,0.01814419776201248,0.005965396761894226,0.009447718039155006,0.0036219358444213867,False,False
val_L|L|s1|m2,val_L,L,1,2,frozen,g99_after,g99_before;g99_after,2,g99_after,0.0164361409842968,0.008397281169891357,0.008038859814405441,0.008038841187953949,0.008038859814405441,8.381903171539307e-09,0.006666550412774086,0.006666550412774086,0.0,7.650350093841553,3.799508810043335,0.0,0.0,0.0,0.0,True,True
val_L|L|s1|m2,val_L,L,1,2,predictor_official_shadow,g99_after,g99_before;g99_after,2,g99_after,0.0164361409842968,0.008397281169891357,0.008038859814405441,0.008038841187953949,0.008038859814405441,3.725290298461914e-09,0.006666550412774086,0.004151612985879183,-0.002514937426894903,7.650350093841553,3.799508810043335,0.0,0.0,0.0,0.0,True,True
val_L|L|s1|m4,val_L,L,1,4,frozen,g99_after,g99_before;g99_after,2,g99_after,0.016956113278865814,0.0048777880147099495,0.012078325264155865,0.012078317813575268,0.012078325264155865,1.0710209608078003e-08,0.007137453183531761,0.007137453183531761,0.0,5.985726356506348,3.58492112159729,0.0,0.0,0.0,0.0,True,True
val_L|L|s1|m4,val_L,L,1,4,predictor_official_shadow,g99_before,g99_before;g99_after,2,g99_before,0.016956105828285217,0.0048777880147099495,0.012078317813575268,0.012078317813575268,0.012078325264155865,5.587935447692871e-09,0.007137453183531761,0.004114799667149782,-0.003022653516381979,5.9857282638549805,3.5849242210388184,7.263773113663774e-06,2.250075340270996e-06,3.9964447751117405e-06,1.6987323760986328e-06,False,False
val_L|L|s2|m2,val_L,L,2,2,frozen,g99_after,g99_before;g99_after,2,g99_after,0.007448143791407347,0.007448142860084772,9.313225746154785e-10,0.0,9.313225746154785e-10,2.3283064365386963e-09,0.0046519748866558075,0.0046519748866558075,0.0,4.73311710357666,1.74396812915802,0.0,0.0,0.0,0.0,True,True
val_L|L|s2|m2,val_L,L,2,2,predictor_official_shadow,g49_after,g49_after,1,g49_after,0.008388102054595947,0.007448142860084772,0.0009399591945111752,0.0009399591945111752,0.0009399591945111752,7.594609633088112e-05,0.0046519748866558075,0.0027473142836242914,-0.001904660603031516,4.696017265319824,1.727291464805603,0.10236538201570511,0.03083115816116333,0.042937129735946655,0.028882145881652832,False,False
