anchor_id,depth,physical_branches,real_goal_cost_range,free_model_goal_cost_range,teacher_forced_model_goal_cost_range,free_to_real_range_ratio,teacher_to_real_range_ratio
val_L|L|s0|m4,0,3,0.0,0.0,0.0,nan,nan
val_L|L|s0|m4,1,3,0.005618833005428314,0.004669934511184692,0.004669934511184692,0.831121783949283,0.831121783949283
val_L|L|s0|m4,2,3,0.0008180099539458752,0.00040182657539844513,0.0006018136627972126,0.4912245547381598,0.7357045716793716
val_L|L|s0|m4,3,3,0.0009036487899720669,3.201048821210861e-05,0.0010560881346464157,0.03542359439567014,1.1686931320729825
val_L|L|s0|m4,4,3,0.0011386284604668617,3.0996277928352356e-05,0.00014697015285491943,0.027222468965551087,0.129076479253521
val_L|L|s0|m4,5,3,0.0008322484791278839,1.858733594417572e-05,0.0003233952447772026,0.0223338779346926,0.388580157113762
val_L|L|s1|m4,0,3,0.0,0.0,0.0,nan,nan
val_L|L|s1|m4,1,3,0.023129373788833618,0.028750404715538025,0.028750404715538025,1.2430256425454167,1.2430256425454167
val_L|L|s1|m4,2,3,0.0012978911399841309,0.005761489272117615,0.007170245051383972,4.439115958668197,5.524535017221584
val_L|L|s1|m4,3,3,0.011902624741196632,0.0005660150200128555,0.0018995078280568123,0.047553798621727456,0.15958730694771486
val_L|L|s1|m4,4,3,0.005464999005198479,0.0009980015456676483,0.005295250564813614,0.18261696749044565,0.9689389805517998
val_L|L|s1|m4,5,3,0.0023469794541597366,0.000672418624162674,0.005743766203522682,0.2865038392095395,2.447301442431698
val_L|L|s2|m4,0,3,0.0,0.0,0.0,nan,nan
val_L|L|s2|m4,1,3,0.005755811929702759,0.00105990469455719,0.00105990469455719,0.18414512279103,0.18414512279103
val_L|L|s2|m4,2,3,0.00012197345495223999,0.00130390003323555,0.0008394885808229446,10.690031152647975,6.882551462952782
val_L|L|s2|m4,3,3,0.0016823168843984604,0.00026300549507141113,0.0017470810562372208,0.15633528826256357,1.038497011139443
val_L|L|s2|m4,4,3,0.0011255592107772827,0.0004461929202079773,0.00037133507430553436,0.3964188786655193,0.32991163037002713
val_L|L|s2|m4,5,3,0.0009644590318202972,0.0004295911639928818,0.0026972871273756027,0.44542188918287334,2.796683983854458
val_T|T|s0|m4,0,3,0.0,0.0,0.0,nan,nan
val_T|T|s0|m4,1,3,0.01440785825252533,0.015144720673561096,0.015144720673561096,1.051143092062737,1.051143092062737
val_T|T|s0|m4,2,3,0.000942721962928772,0.0019356757402420044,0.0031405948102474213,2.0532838062119656,3.331411522958982
val_T|T|s0|m4,3,3,0.0007217973470687866,0.00015677139163017273,0.001069929450750351,0.2171958545799872,1.4823128057969819
val_T|T|s0|m4,4,3,0.0014235470443964005,0.0008086413145065308,0.00039132963865995407,0.5680467798304506,0.2748975808002763
val_T|T|s0|m4,5,3,0.0014302432537078857,0.0008119791746139526,0.0006129555404186249,0.5677210310266508,0.4285673355420808
val_T|T|s1|m4,0,2,0.0,0.0,0.0,nan,nan
val_T|T|s1|m4,1,2,1.8283724784851074e-05,8.269399404525757e-05,8.269399404525757e-05,4.522819885900571,4.522819885900571
val_T|T|s1|m4,2,2,4.265457391738892e-06,7.887370884418488e-06,2.2076070308685303e-05,1.8491266375545852,5.175545851528384
val_T|T|s1|m4,3,2,1.248437911272049e-06,1.237727701663971e-06,9.588897228240967e-06,0.9914211115255501,7.680716150690041
val_T|T|s1|m4,4,2,6.414484232664108e-07,1.7192214727401733e-06,7.295981049537659e-06,nan,nan
val_T|T|s1|m4,5,2,3.604218363761902e-07,1.5972182154655457e-06,6.2016770243644714e-06,nan,nan
val_T|T|s2|m4,0,3,0.0,0.0,0.0,nan,nan
val_T|T|s2|m4,1,3,0.007193021476268768,0.010257884860038757,0.010257884860038757,1.4260884516863452,1.4260884516863452
val_T|T|s2|m4,2,3,0.015705756843090057,0.0031501539051532745,0.002968285232782364,0.2005731997907012,0.18899345395687173
val_T|T|s2|m4,3,3,0.0024448931217193604,0.0031132474541664124,0.0003014076501131058,1.2733675049063227,0.12328050148103904
val_T|T|s2|m4,4,3,0.004328493028879166,0.001945681869983673,0.0016827192157506943,0.449505603220873,0.38875405470767804
val_T|T|s2|m4,5,3,0.004707269370555878,0.0014669504016637802,0.0016416721045970917,0.3116351086342334,0.34875253047250787
