anchor_id,depth,physical_branches,real_goal_cost_range,free_model_goal_cost_range,teacher_forced_model_goal_cost_range,free_to_real_range_ratio,teacher_to_real_range_ratio
val_L|L|s0|m4,0,3,0.0,0.0,0.0,nan,nan
val_L|L|s0|m4,1,3,0.005618833005428314,0.004669934511184692,0.004669934511184692,0.831121783949283,0.831121783949283
val_L|L|s0|m4,2,3,0.0008180099539458752,0.0004276251420378685,0.0005121957510709763,0.52276276098489,0.6261485555282943
val_L|L|s0|m4,3,3,0.0009036487899720669,1.001451164484024e-05,0.0010752305388450623,0.011082305156575049,1.189876587870271
val_L|L|s0|m4,4,3,0.0011386284604668617,1.9082799553871155e-06,0.0001065768301486969,0.001675946124343915,0.0936010593877112
val_L|L|s0|m4,5,3,0.0008322484791278839,2.956017851829529e-06,0.00024395855143666267,0.0035518453033727983,0.29313186813186815
val_L|L|s1|m4,0,3,0.0,0.0,0.0,nan,nan
val_L|L|s1|m4,1,3,0.023129373788833618,0.028750404715538025,0.028750404715538025,1.2430256425454167,1.2430256425454167
val_L|L|s1|m4,2,3,0.0012978911399841309,0.004818659275770187,0.006003696471452713,3.7126836969001147,4.625731917336395
val_L|L|s1|m4,3,3,0.011902624741196632,2.5562942028045654e-05,0.0013741161674261093,0.002147672684291959,0.11544648321727753
val_L|L|s1|m4,4,3,0.005464999005198479,0.0017223246395587921,0.005562685430049896,0.3151555266378755,1.017874920884431
val_L|L|s1|m4,5,3,0.0023469794541597366,0.00015067681670188904,0.008750073611736298,0.06420031348584354,3.7282276145314577
val_L|L|s2|m4,0,3,0.0,0.0,0.0,nan,nan
val_L|L|s2|m4,1,3,0.005755811929702759,0.00105990469455719,0.00105990469455719,0.18414512279103,0.18414512279103
val_L|L|s2|m4,2,3,0.00012197345495223999,0.0012358836829662323,0.0008955113589763641,10.132398753894082,7.341854498808869
val_L|L|s2|m4,3,3,0.0016823168843984604,0.0006552599370479584,0.0018306206911802292,0.3894985202399946,1.0881545017809158
val_L|L|s2|m4,4,3,0.0011255592107772827,0.0003706216812133789,6.80387020111084e-05,0.3292778182299596,0.06044879857019925
val_L|L|s2|m4,5,3,0.0009644590318202972,0.00022087432444095612,0.0020135603845119476,0.2290136928098264,2.087761447691149
val_T|T|s0|m4,0,3,0.0,0.0,0.0,nan,nan
val_T|T|s0|m4,1,3,0.01440785825252533,0.015144720673561096,0.015144720673561096,1.051143092062737,1.051143092062737
val_T|T|s0|m4,2,3,0.000942721962928772,0.0017207879573106766,0.0028274282813072205,1.8253398403540662,2.999217576859243
val_T|T|s0|m4,3,3,0.0007217973470687866,6.820820271968842e-05,0.0008337944746017456,0.09449771878032164,1.15516422717232
val_T|T|s0|m4,4,3,0.0014235470443964005,0.0005130469799041748,0.00022309273481369019,0.3604004391170032,0.1567160956793556
val_T|T|s0|m4,5,3,0.0014302432537078857,0.001050163060426712,0.0006103087216615677,0.7342548602863037,0.4267167281365256
val_T|T|s1|m4,0,2,0.0,0.0,0.0,nan,nan
val_T|T|s1|m4,1,2,1.8283724784851074e-05,8.269399404525757e-05,8.269399404525757e-05,4.522819885900571,4.522819885900571
val_T|T|s1|m4,2,2,4.265457391738892e-06,7.199123501777649e-06,2.253800630569458e-05,1.6877729257641922,5.283842794759825
val_T|T|s1|m4,3,2,1.248437911272049e-06,1.7960555851459503e-06,1.0457821190357208e-05,1.4386422976501305,8.376725102573667
val_T|T|s1|m4,4,2,6.414484232664108e-07,2.1811574697494507e-06,8.512288331985474e-06,nan,nan
val_T|T|s1|m4,5,2,3.604218363761902e-07,1.6991980373859406e-06,7.709488272666931e-06,nan,nan
val_T|T|s2|m4,0,3,0.0,0.0,0.0,nan,nan
val_T|T|s2|m4,1,3,0.007193021476268768,0.010257884860038757,0.010257884860038757,1.4260884516863452,1.4260884516863452
val_T|T|s2|m4,2,3,0.015705756843090057,0.0029874052852392197,0.0023401565849781036,0.19021084530247045,0.148999924572733
val_T|T|s2|m4,3,3,0.0024448931217193604,0.0024663060903549194,0.000517282634973526,1.0087582432317126,0.21157678852225215
val_T|T|s2|m4,4,3,0.004328493028879166,0.0018438156694173813,0.0037332288920879364,0.42597173129670607,0.8624777416020538
val_T|T|s2|m4,5,3,0.004707269370555878,0.0014032404869794846,0.0013182181864976883,0.29810074090019134,0.2800388256391669
