anchor_id,anchor_ordinal,split,shape,sample_id,mpc_iter,label,candidate_id,selection_model_variant,selection_model_cost,J_env_open_plan,Q_env_common_continuation,continuation_target_shift_b_pi,first_chunk_reference_terminal_cost,final_reference_terminal_cost,first_chunk_state_dist,final_state_dist,first_chunk_success,final_success,physical_branch_id,first_chunk_deduplicated,action_l2,first_chunk_l2,full_action_delta_from_frozen_l2,full_action_delta_from_frozen_max_abs,first_chunk_delta_from_frozen_l2,first_chunk_delta_from_frozen_max_abs,full_action_exactly_frozen,first_chunk_exactly_frozen
val_L|L|s0|m4,0,val_L,L,0,4,adapted,g74_before,predictor_official_shadow,0.004014334641396999,0.011473123915493488,0.00796519685536623,-0.0035079270601272583,0.09090275317430496,0.00796519685536623,108.26469421386719,33.0661735534668,False,True,val_L_L_s0_m4_b1,False,5.023612976074219,3.8564558029174805,0.01814419776201248,0.005965396761894226,0.009447718039155006,0.0036219358444213867,False,False
val_L|L|s0|m4,0,val_L,L,0,4,frozen,g99_after,frozen,0.0030782134272158146,0.010635110549628735,0.0071355197578668594,-0.003499590791761875,0.09652795642614365,0.0071355197578668594,108.77387237548828,32.20344924926758,False,True,val_L_L_s0_m4_b0,False,5.015748023986816,3.847970962524414,0.0,0.0,0.0,0.0,True,True
val_L|L|s0|m4,0,val_L,L,0,4,oracle,g24_before,frozen,0.0047484105452895164,0.005354368593543768,0.007750063203275204,0.0023956946097314358,0.09112079441547394,0.007750063203275204,107.0445785522461,33.16305923461914,False,True,val_L_L_s0_m4_b2,False,5.172595500946045,3.8672688007354736,0.36674296855926514,0.2109462022781372,0.0475354865193367,0.02336299419403076,False,False
val_L|L|s1|m4,1,val_L,L,1,4,adapted,g99_before,predictor_official_shadow,0.008259862661361694,0.016956105828285217,0.029091648757457733,0.012135542929172516,0.23705968260765076,0.029091648757457733,93.65380096435547,100.9951171875,False,True,val_L_L_s1_m4_b1,False,5.9857282638549805,3.5849242210388184,7.263773113663774e-06,2.250075340270996e-06,3.9964447751117405e-06,1.6987323760986328e-06,False,False
val_L|L|s1|m4,1,val_L,L,1,4,frozen,g99_after,frozen,0.007510676514357328,0.016956113278865814,0.029091671109199524,0.01213555783033371,0.2370598018169403,0.029091671109199524,93.65388488769531,100.99515533447266,False,True,val_L_L_s1_m4_b0,False,5.985726356506348,3.58492112159729,0.0,0.0,0.0,0.0,True,True
val_L|L|s1|m4,1,val_L,L,1,4,oracle,g24_after,frozen,0.009489113464951515,0.0048777880147099495,0.026739072054624557,0.021861284039914608,0.21392673254013062,0.026739072054624557,88.4590072631836,92.52484130859375,False,True,val_L_L_s1_m4_b2,False,6.1508331298828125,3.7806572914123535,0.6022735238075256,0.22809836268424988,0.24941395223140717,0.10375940799713135,False,False
val_L|L|s2|m4,2,val_L,L,2,4,adapted,g99_before,predictor_official_shadow,0.008822210133075714,0.033050939440727234,0.021863650530576706,-0.011187288910150528,0.19368626177310944,0.021863650530576706,93.15522003173828,35.52699279785156,False,False,val_L_L_s2_m4_b1,False,5.587782859802246,3.2857351303100586,7.542081675637746e-06,2.5331974029541016e-06,2.0669688183261314e-06,1.430511474609375e-06,False,False
val_L|L|s2|m4,2,val_L,L,2,4,frozen,g99_after,frozen,0.005213762167841196,0.03305094316601753,0.021863657981157303,-0.01118728518486023,0.19368629157543182,0.021863657981157303,93.15524291992188,35.52698516845703,False,False,val_L_L_s2_m4_b0,False,5.587786674499512,3.285736083984375,0.0,0.0,0.0,0.0,True,True
val_L|L|s2|m4,2,val_L,L,2,4,oracle,g24_after,frozen,0.007076706271618605,0.030293770134449005,0.0228232741355896,-0.0074704959988594055,0.1879282146692276,0.0228232741355896,89.04906463623047,48.5099983215332,False,False,val_L_L_s2_m4_b2,False,5.3234992027282715,3.0965259075164795,0.7884449362754822,0.279629111289978,0.2734200358390808,0.14295291900634766,False,False
val_T|T|s0|m4,3,val_T,T,0,4,adapted,g49_before,predictor_official_shadow,0.0062940241768956184,0.01822931505739689,0.03138210251927376,0.01315278746187687,0.10656793415546417,0.03138210251927376,75.30664825439453,48.77517318725586,False,False,val_T_T_s0_m4_b1,False,3.0800111293792725,1.0836602449417114,0.200784370303154,0.08352988213300705,0.10254597663879395,0.08352988213300705,False,False
val_T|T|s0|m4,3,val_T,T,0,4,frozen,g99_after,frozen,0.0045935180969536304,0.019398214295506477,0.031071990728378296,0.011673776432871819,0.11203299462795258,0.031071990728378296,80.95536804199219,50.82834243774414,False,False,val_T_T_s0_m4_b0,False,3.1196088790893555,1.1005561351776123,0.0,0.0,0.0,0.0,True,True
