physical_branch_id,anchor_id,labels,depth,real_goal_cost,free_model_goal_cost,teacher_forced_model_goal_cost,free_latent_mse,free_visual_mse,free_proprio_mse,teacher_forced_latent_mse,teacher_forced_visual_mse,teacher_forced_proprio_mse,preceding_action_delta_l2,preceding_action_delta_max_abs
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,0,0.5403977036476135,0.5403977036476135,0.5403977036476135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,1,0.09651780128479004,0.06717574596405029,0.06717574596405029,0.006060508079826832,0.005202468018978834,0.0008580400026403368,0.006060508079826832,0.005202468018978834,0.0008580400026403368,0.0,0.0
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,2,0.004500926472246647,0.009636503644287586,0.005577256437391043,0.00461222929880023,0.0036167313810437918,0.00099549803417176,0.005124940536916256,0.0032622218132019043,0.0018627186072990298,0.25226694345474243,0.11768430471420288
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,3,0.005685777403414249,0.008369266986846924,0.007738064043223858,0.004341374151408672,0.0036537861451506615,0.0006875882390886545,0.006657221354544163,0.004413205198943615,0.002244016155600548,0.243105947971344,0.14284324645996094
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,4,0.006856130436062813,0.008880101144313812,0.00782204233109951,0.004836138803511858,0.0039281840436160564,0.0009079547016881406,0.0077178264036774635,0.005387774668633938,0.002330051502212882,0.17121243476867676,0.0886094868183136
val_L_L_s0_m4_b0,val_L|L|s0|m4,frozen,5,0.0071373311802744865,0.009180182591080666,0.007829314097762108,0.004950980190187693,0.003953443840146065,0.000997536233626306,0.008814288303256035,0.006577118765562773,0.0022371697705239058,0.16009283065795898,0.09170305728912354
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,0,0.5403977036476135,0.5403977036476135,0.5403977036476135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,1,0.09089896827936172,0.06633781641721725,0.06633781641721725,0.005120891612023115,0.004257551394402981,0.0008633403340354562,0.005120891612023115,0.004257551394402981,0.0008633403340354562,0.0,0.0
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,2,0.004783934447914362,0.009729438461363316,0.005871845409274101,0.004368515219539404,0.003427505027502775,0.0009410103666596115,0.0050407941453158855,0.0031915835570544004,0.0018492104718461633,0.24062201380729675,0.13838082551956177
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,3,0.006589426193386316,0.008367275819182396,0.00783124566078186,0.00452842004597187,0.003843102604150772,0.0006853174418210983,0.006862315349280834,0.004616639576852322,0.0022456760052591562,0.23054319620132446,0.13441789150238037
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,4,0.007994758896529675,0.008880444802343845,0.007798485457897186,0.0051993103697896,0.004259337671101093,0.0009399726404808462,0.008400972932577133,0.006105917505919933,0.0022950549609959126,0.21815504133701324,0.11306235194206238
val_L_L_s0_m4_b1,val_L|L|s0|m4,adapted,5,0.00796957965940237,0.009181128814816475,0.007719126995652914,0.005368238314986229,0.0043311892077326775,0.0010370491072535515,0.01018452551215887,0.007981529459357262,0.0022029962856322527,0.1964496374130249,0.11258330941200256
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,0,0.5403977036476135,0.5403977036476135,0.5403977036476135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,1,0.09110507369041443,0.0625058114528656,0.0625058114528656,0.005961339455097914,0.005103856325149536,0.0008574830717407167,0.005961339455097914,0.005103856325149536,0.0008574830717407167,0.0,0.0
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,2,0.003965924493968487,0.010064128786325455,0.005359649658203125,0.005332984495908022,0.0042882957495749,0.0010446887463331223,0.005141231697052717,0.0032614469528198242,0.0018797848606482148,0.29094913601875305,0.1299383044242859
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,3,0.006280575413256884,0.008359252475202084,0.00881329458206892,0.004449665080755949,0.0039700851775705814,0.00047957999049685895,0.006689349189400673,0.004381978418678045,0.0023073710035532713,0.3019276559352875,0.1490364372730255
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,4,0.007251248694956303,0.008878536522388458,0.007905062288045883,0.0049170395359396935,0.0038583269342780113,0.0010587124852463603,0.007608384825289249,0.005236088298261166,0.00237229629419744,0.2134401500225067,0.11528682708740234
val_L_L_s0_m4_b2,val_L|L|s0|m4,oracle,5,0.0077486783266067505,0.009178172796964645,0.007963085547089577,0.004879907239228487,0.0039153313264250755,0.0009645760292187333,0.008957203477621078,0.006728381849825382,0.002228821162134409,0.17260998487472534,0.09342887997627258
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,0,0.8393816351890564,0.8393816351890564,0.8393816351890564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,1,0.23703953623771667,0.24229450523853302,0.24229450523853302,0.009083790704607964,0.007792765274643898,0.0012910250807181,0.009083790704607964,0.007792765274643898,0.0012910250807181,0.0,0.0
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,2,0.06842746585607529,0.050954896956682205,0.047821372747421265,0.008673314936459064,0.0067950161173939705,0.0018782987026497722,0.01499921828508377,0.011303776875138283,0.0036954418756067753,0.26214736700057983,0.13313409686088562
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,3,0.029207512736320496,0.020192213356494904,0.0181265901774168,0.009649164974689484,0.008569872938096523,0.0010792916873469949,0.02294750139117241,0.01847413182258606,0.004473370499908924,0.36310556530952454,0.2246304452419281
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,4,0.027808886021375656,0.028580965474247932,0.02369929477572441,0.026737524196505547,0.024858934804797173,0.0018785890424624085,0.02339399978518486,0.018142303451895714,0.005251695867627859,0.32420966029167175,0.2129894495010376
val_L_L_s1_m4_b0,val_L|L|s1|m4,frozen,5,0.02909296192228794,0.03587125986814499,0.03846849128603935,0.025790216401219368,0.022794969379901886,0.002995247021317482,0.023750685155391693,0.01693892851471901,0.006811757571995258,0.8382143974304199,0.43746471405029297
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,0,0.8393816351890564,0.8393816351890564,0.8393816351890564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,1,0.23703941702842712,0.242294043302536,0.242294043302536,0.0090838223695755,0.007792800664901733,0.0012910215882584453,0.0090838223695755,0.007792800664901733,0.0012910215882584453,0.0,0.0
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,2,0.06842741370201111,0.05095485597848892,0.04782124608755112,0.008673304691910744,0.006795029155910015,0.001878275885246694,0.01499929465353489,0.011303859762847424,0.0036954344250261784,0.2621493339538574,0.13313564658164978
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,3,0.029207512736320496,0.02019222266972065,0.018126580864191055,0.009649164974689484,0.008569873869419098,0.0010792907560244203,0.022947583347558975,0.01847420260310173,0.0044733802787959576,0.36310499906539917,0.22463026642799377
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,4,0.0278088990598917,0.0285810399800539,0.023699339479207993,0.026737553998827934,0.024858955293893814,0.0018785987049341202,0.023394016548991203,0.018142305314540863,0.005251710768789053,0.32421034574508667,0.21299058198928833
val_L_L_s1_m4_b1,val_L|L|s1|m4,adapted,5,0.02909293957054615,0.03587126359343529,0.03846852481365204,0.025790248066186905,0.022794995456933975,0.002995252376422286,0.02375069633126259,0.016938937827944756,0.00681175896897912,0.8382136225700378,0.4374644160270691
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,0,0.8393816351890564,0.8393816351890564,0.8393816351890564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,1,0.21391016244888306,0.213544100522995,0.213544100522995,0.011314408853650093,0.00997150782495737,0.0013429006794467568,0.011314408853650093,0.00997150782495737,0.0013429006794467568,0.0,0.0
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,2,0.06972530484199524,0.04613623768091202,0.04181767627596855,0.011214131489396095,0.009259084239602089,0.0019550477154552937,0.019944746047258377,0.015994464978575706,0.003950281534343958,0.2514248788356781,0.13019055128097534
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,3,0.017304887995123863,0.02021777629852295,0.016752474009990692,0.010429318994283676,0.009223641827702522,0.0012056768173351884,0.016910605132579803,0.012520908378064632,0.004389697220176458,0.32254379987716675,0.18975988030433655
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,4,0.022343900054693222,0.030303290113806725,0.029261980205774307,0.018557202070951462,0.017086530104279518,0.0014706719666719437,0.014796571806073189,0.008984724059700966,0.005811847280710936,1.0453680753707886,0.5597295761108398
val_L_L_s1_m4_b2,val_L|L|s1|m4,oracle,5,0.026745982468128204,0.0357205867767334,0.02971845120191574,0.02490566112101078,0.02102632448077202,0.0038793364074081182,0.03223613277077675,0.026258986443281174,0.005977146327495575,0.6737252473831177,0.35461682081222534
val_L_L_s2_m4_b0,val_L|L|s2|m4,frozen,0,0.226302370429039,0.226302370429039,0.226302370429039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
