subset,mode,depth,pairs,both_norms_above_mask,real_norm_above_mask,effect_cosine_defined,real_task_cosine_defined,predicted_task_cosine_defined
all,free,1,16,16,16,16,16,16
all,free,2,16,16,16,16,16,16
all,free,3,16,16,16,16,16,16
all,free,4,16,16,16,16,16,16
all,free,5,16,16,16,16,16,16
all,teacher,1,16,16,16,16,16,16
all,teacher,2,16,16,16,16,16,16
all,teacher,3,16,16,16,16,16,16
all,teacher,4,16,16,16,16,16,16
all,teacher,5,16,16,16,16,16,16
all,reset,1,16,16,16,16,16,16
all,reset,2,16,16,16,16,16,16
all,reset,3,16,16,16,16,16,16
all,reset,4,16,16,16,16,16,16
all,reset,5,16,16,16,16,16,16
all,persistence,1,16,0,16,0,16,0
all,persistence,2,16,16,16,16,16,16
all,persistence,3,16,16,16,16,16,16
all,persistence,4,16,16,16,16,16,16
all,persistence,5,16,16,16,16,16,16
frozen_nonfrozen,free,1,11,11,11,11,11,11
frozen_nonfrozen,free,2,11,11,11,11,11,11
frozen_nonfrozen,free,3,11,11,11,11,11,11
frozen_nonfrozen,free,4,11,11,11,11,11,11
frozen_nonfrozen,free,5,11,11,11,11,11,11
frozen_nonfrozen,teacher,1,11,11,11,11,11,11
frozen_nonfrozen,teacher,2,11,11,11,11,11,11
frozen_nonfrozen,teacher,3,11,11,11,11,11,11
frozen_nonfrozen,teacher,4,11,11,11,11,11,11
frozen_nonfrozen,teacher,5,11,11,11,11,11,11
frozen_nonfrozen,reset,1,11,11,11,11,11,11
frozen_nonfrozen,reset,2,11,11,11,11,11,11
frozen_nonfrozen,reset,3,11,11,11,11,11,11
frozen_nonfrozen,reset,4,11,11,11,11,11,11
frozen_nonfrozen,reset,5,11,11,11,11,11,11
frozen_nonfrozen,persistence,1,11,0,11,0,11,0
frozen_nonfrozen,persistence,2,11,11,11,11,11,11
frozen_nonfrozen,persistence,3,11,11,11,11,11,11
frozen_nonfrozen,persistence,4,11,11,11,11,11,11
frozen_nonfrozen,persistence,5,11,11,11,11,11,11
frozen_adapted,free,1,6,6,6,6,6,6
frozen_adapted,free,2,6,6,6,6,6,6
frozen_adapted,free,3,6,6,6,6,6,6
frozen_adapted,free,4,6,6,6,6,6,6
frozen_adapted,free,5,6,6,6,6,6,6
frozen_adapted,teacher,1,6,6,6,6,6,6
frozen_adapted,teacher,2,6,6,6,6,6,6
frozen_adapted,teacher,3,6,6,6,6,6,6
frozen_adapted,teacher,4,6,6,6,6,6,6
frozen_adapted,teacher,5,6,6,6,6,6,6
frozen_adapted,reset,1,6,6,6,6,6,6
frozen_adapted,reset,2,6,6,6,6,6,6
frozen_adapted,reset,3,6,6,6,6,6,6
frozen_adapted,reset,4,6,6,6,6,6,6
frozen_adapted,reset,5,6,6,6,6,6,6
frozen_adapted,persistence,1,6,0,6,0,6,0
frozen_adapted,persistence,2,6,6,6,6,6,6
frozen_adapted,persistence,3,6,6,6,6,6,6
frozen_adapted,persistence,4,6,6,6,6,6,6
frozen_adapted,persistence,5,6,6,6,6,6,6
